person_id,baseline_memory,training,engagement_after,help_seeking_after,memory_after
146,53.21090129,1,1.15828227,0.14732694,60.61983283
147,52.37581304,1,1.60421542,0.14786916,52.31610351
148,50.70510531,0,0.09685743,2.78304808,48.09969743
149,32.18058093,0,-0.58876955,-1.04441098,38.95187542
150,47.10442037,1,0.42328162,2.18924179,50.50164849
151,46.23245797,1,1.35191937,-0.28252122,56.90940439
152,51.08431184,1,1.73291210,2.22205224,55.73504760
153,45.80591087,0,-1.07622266,0.30956040,47.87002393
154,76.35779410,1,0.82905022,1.94146577,69.86829433
155,42.45334628,1,1.34139882,2.04438862,43.55780630
156,53.11181344,1,0.87519111,3.20937470,51.57005476
157,58.00220409,1,0.62461847,1.59971271,58.94275475
158,39.45849548,0,-0.78931551,-2.80729599,45.93499982
159,49.24590703,0,-0.17920309,-1.30576939,57.09866373
160,47.15455751,0,0.01238731,0.16153768,45.96682624
161,47.56744459,0,1.49313215,2.95774979,39.99402531
162,35.03320494,0,0.59401649,0.55011694,39.99700554
163,35.00059046,0,0.65055515,-0.75368828,39.88018884
164,48.13219197,1,0.18500659,1.73217926,53.70464282
165,50.35062885,0,0.17963860,-2.36232432,54.25524835
166,46.72796950,0,0.94560555,-1.55286776,52.21102125
167,54.92679983,0,0.52651780,-1.48214516,57.26356193
168,48.67233406,0,-0.46789264,-1.26876820,47.47142180
169,46.22272394,1,0.78610600,0.32714452,59.06831659
170,53.89711520,1,0.75072549,0.44315793,56.11814220
171,38.14690950,1,2.21244771,2.38143835,44.47575079
172,40.55520399,1,1.63610029,0.64664745,46.28216578
173,63.12005378,1,1.50043924,0.22441978,71.80817076
174,53.71624706,0,-0.42844103,-0.42394615,50.49463309
175,38.65063700,0,0.05232071,3.00484749,34.09062660
176,49.73766123,0,1.89937207,-1.79910991,58.65233248
177,64.05569486,1,0.10075910,0.80984509,66.88702468
178,48.97702771,0,0.62663851,0.15197279,46.34941232
179,21.61581874,0,-0.08735221,1.52826394,24.08420758
180,54.18259534,0,-0.03405794,-0.41276158,49.80078150
181,42.11904833,0,-0.20504490,1.10006892,43.16859306
182,71.27376056,1,0.71163257,-0.10836524,69.57966333
183,42.43600881,1,1.65160222,0.12710428,47.52204843
184,47.24081458,0,-1.60273766,-0.66225590,47.46298439
185,62.24456041,1,2.76021856,1.32365138,60.42660409
186,51.16579152,0,0.46660018,0.23367101,54.97886565
187,63.42908711,1,0.87351420,4.03270178,53.53841028
188,63.51233986,0,-1.39166348,0.97801925,60.39297913
189,43.46643353,1,1.56764505,0.21568570,47.67283625
190,63.63505276,0,-0.32757437,-1.25697848,60.79613110
191,55.40381719,1,0.41010853,-0.67878228,59.82175365
192,42.86337191,0,-0.03038941,0.79598543,48.94862820
193,37.18624283,0,-0.61654782,0.23499451,38.12203860
194,37.16507055,0,0.07341829,0.18375983,42.38457329
195,56.80478156,0,-0.79994543,-1.55952541,61.23322236
196,51.05247044,1,1.54803440,-0.31656989,60.53359862
197,37.70908106,1,0.30542674,2.29913358,43.05574840
198,62.56379650,1,1.41807743,2.67855563,58.05673711
199,44.73043730,0,0.25133194,-0.29209055,41.84737826
200,47.64184638,1,1.36661926,0.06395184,49.56255795
201,43.50655049,0,-0.30793762,-0.51157852,47.16303745
202,52.27156426,0,-0.41331204,-0.76711613,47.78118868
203,45.66266141,0,-0.54742356,1.45976979,40.07014214
204,46.29907717,1,0.50278220,0.48690088,56.70004178
205,55.25793866,0,0.37036244,0.20206447,55.65084922
206,46.59717950,0,-0.37090605,-1.67509830,51.73702729
207,30.76492452,0,-0.22011214,0.21710881,36.99061700
208,43.47862406,0,-0.66506305,0.91756236,43.22645597
209,46.97591496,0,-0.50243794,-0.53701969,48.86239536
210,52.88408285,1,1.47255599,2.93140065,51.67786817
211,40.60331127,0,0.39605947,1.91002851,45.70197838
212,41.86416429,1,1.80499104,1.15931550,45.48723768
213,55.38472406,1,1.46578843,0.18827130,54.52422642
214,73.51143338,1,0.03369487,1.18275646,62.74445757
215,39.32311813,0,-0.86766674,1.00117964,40.34615211
216,23.49415513,0,0.34410516,-0.16658506,35.36826012
217,51.01253742,1,0.63840649,5.27074088,47.76811112
218,43.80109027,0,-0.54085391,-0.10545768,40.08603387
219,64.28808019,1,0.74327416,1.49059400,61.77688801
220,71.23971192,1,2.69584528,1.36672937,61.51713143
221,58.32421420,0,0.21357438,-0.31248447,62.04827128
222,39.49475695,1,0.47890771,0.78329230,42.56322812
223,55.71935590,1,1.02594835,-0.12812207,56.56119405
224,38.29848394,0,0.68278156,0.82641060,46.28860961
225,63.52048459,1,1.11959774,1.00628464,58.06691656
226,40.80834994,0,0.38873887,2.06399025,38.61617086
227,45.50065812,0,0.77125688,-3.01289831,56.45511045
228,34.99292992,0,-0.11676449,-2.01194804,45.98781544
229,52.83282756,0,0.69487631,-2.49150601,56.96466960
230,43.36435181,0,-0.95202147,-0.99744384,42.02537751
231,70.67381081,1,1.73098012,2.50552377,70.08185209
232,33.82195022,0,-0.04833411,2.71750433,30.94861938
233,61.22055827,1,0.65607801,1.78851476,53.91777923
234,62.64576114,1,1.99700909,4.00619573,57.21044340
235,35.99181824,0,0.25240792,-0.46553614,41.26786895
236,63.27712374,1,1.58564411,0.41737445,65.34134715
237,63.96872023,1,1.05746903,1.54368643,66.50061377
238,38.99220521,0,1.21660999,-1.94641497,49.90010797
239,40.25381780,0,0.20259512,0.46200501,45.48858559
240,57.54464645,1,1.48939962,1.85970506,53.42197429
241,51.93245443,1,0.89983185,1.50033880,49.82702143
242,58.22369248,0,-0.32807337,-1.06109988,59.26151869
243,50.81988462,1,0.23709016,0.47320681,50.21049300
244,43.10867051,0,0.35244268,0.62265100,43.76533065
245,53.24093732,1,1.63974651,2.47090539,51.42710526
246,29.15934772,0,0.55458418,0.77982801,34.01031123
247,47.97010845,0,-0.34816906,0.67270708,48.03376793
248,39.29499205,0,-0.00831118,0.56295330,41.55319619
249,34.91367964,0,2.01378062,1.27500542,39.01506452
250,40.15295979,0,0.35655015,2.91714987,38.62444611
251,54.29692801,0,0.01039359,-0.45735989,52.03857869
252,37.51949113,0,0.38870922,-0.71794308,43.36503079
253,51.29238131,0,-0.66375431,-0.94476345,55.33112408
254,58.89181311,1,1.24079046,2.59483180,51.62915077
255,34.53309484,0,0.14528149,0.21760826,34.75529389
256,35.19346087,1,1.01837615,2.09336079,37.93015294
257,53.14495698,1,1.30345400,3.05104279,53.15216712
258,58.34868433,1,1.82848968,2.30394747,51.56651874
259,37.87716175,1,0.56210990,1.37774822,38.36029420
260,66.71422081,0,1.47475684,0.13778516,61.26848988
261,61.79641007,0,-0.25007952,0.60365073,55.02122591
262,55.98118247,1,1.56135089,2.10832815,56.33452787
263,57.07717770,1,1.07706708,1.65923970,57.15570197
264,37.62215123,0,-0.09964939,1.45663886,40.16748206
265,65.00488514,1,2.38944301,1.63747082,64.11259013
266,59.86904837,1,1.08984999,1.01733675,61.86027529
267,59.89681114,1,0.15788562,1.88567498,49.16927985
268,51.82250312,1,1.86031246,-1.05887370,60.04740041
269,68.29650556,1,0.55011019,1.58794583,63.08651007
270,40.99680651,0,0.37289472,0.10781800,49.58286838
271,47.56149140,0,0.47951905,0.15038652,50.40850278
272,43.94254636,0,-0.02075130,0.54958859,49.99382510
273,45.23705254,0,-0.81802931,1.65003908,41.98473805
274,45.87860461,0,0.61608749,0.32453737,46.44098397
275,51.86441507,0,0.21816194,2.08895330,48.24975231
276,66.75223177,1,1.51180399,-0.09140062,68.30503845
277,50.07012863,0,0.15011579,0.43823597,50.96564330
278,45.61170692,1,1.01272633,2.86024281,50.81175833
279,65.21978380,1,1.12299787,2.46553425,63.31362634
280,44.48365071,0,0.61351508,2.12620172,46.06085274
281,77.52577441,1,0.78762869,1.05576451,66.05487165
282,47.42912469,0,-1.56289949,-1.82959627,55.78551733
283,42.28514965,0,0.61484703,0.91735405,38.92642363
284,48.75260976,1,0.31150422,2.26337539,57.11287461
285,50.56651105,0,0.56333061,2.02536479,47.55480774
286,30.97182764,0,0.07238367,-0.31934955,43.62806606
287,46.75564559,0,-0.11195280,1.88163438,42.66178479
288,42.16063437,0,-0.06064987,0.76300871,44.32627665
289,49.44786190,0,0.40209593,-0.75447906,53.93525209
290,36.11917054,0,-0.20563733,0.44398051,40.85998398
291,51.72697653,1,1.65458375,1.92598004,58.29214672
292,47.58650306,1,2.37177680,0.97282320,53.99505666
293,50.59040490,1,0.94879362,1.49877313,57.22509784
294,67.04371044,1,1.34131372,-1.96621109,69.27935327
295,34.27661634,0,0.29259208,-0.71896785,48.57271455
296,25.95155841,0,0.62242809,-1.23305592,34.55114779
297,40.43340783,0,0.51989426,-0.96256711,46.99749095
298,39.92590972,0,0.01782271,0.02451386,47.40489201
299,55.12872312,1,1.43816632,0.35138964,59.84220452
300,47.48376576,1,1.39090434,0.05698468,56.39138702
301,58.97086612,1,1.46530995,2.97223147,53.29366533
302,57.29518281,1,1.39031412,0.96401703,60.44411395
303,32.91586505,0,-0.47793976,0.65883783,34.61159894
304,44.02010639,0,-0.85276043,-0.54068096,46.61710099
305,46.68552253,0,0.76854277,2.51773785,37.29134575
306,47.67198132,1,0.72665341,2.00669500,47.41730136
307,59.88212628,0,0.35034923,0.78991677,55.97293821
308,53.12006392,1,2.66111372,1.88592260,55.76386340
309,53.60312243,1,1.61740543,0.47687241,53.25928044
310,58.25278261,1,0.62176748,1.37220424,57.70871097
311,47.97590607,0,1.68820923,2.15238832,47.92663241
312,42.00247374,0,1.09607235,1.56360461,41.30071538
313,32.48021775,0,0.18991925,-0.44716830,36.92295315
314,39.56749694,0,0.56447182,0.40606595,43.10383511
315,57.41784871,0,1.89022728,1.74170943,47.21700640
316,58.19551156,1,1.67135365,-0.29179852,63.06662211
317,68.67123291,1,0.38377246,2.67109644,57.99808747
318,32.95936627,0,0.01696527,-1.93995568,42.45905528
319,36.46145023,0,-0.32567619,-0.38862772,47.87052916
320,49.99662473,1,1.66036004,2.41036161,46.33093695
321,69.21188439,1,1.80512670,2.39025284,58.09811475
322,55.10483714,0,0.14608268,-0.36221833,55.10366033
323,58.52440196,0,0.50814001,0.33140606,56.20501715
324,62.13531290,1,0.37979390,1.20117400,62.88868037
325,48.27362449,0,-0.04872913,-2.96950419,54.48329893
326,50.50573411,1,0.67714775,1.36063445,46.23798619
327,52.36306668,0,-0.75929854,0.29801419,46.84420795
328,58.86601113,1,1.56172036,0.49522260,59.76382425
329,51.37728748,0,-1.18597790,-1.08803001,50.09679185
330,65.51480774,1,0.74081665,1.37688956,59.41603835
331,54.60129655,0,-0.13503023,0.72286038,48.12227844
332,49.01286858,1,-0.57187778,3.50231316,41.37408996
333,63.28322690,1,0.10762224,1.80611740,60.78123759
334,66.15831848,1,0.75857140,0.52690871,64.03477277
335,51.85919970,0,0.36214969,0.17862460,57.03555122
336,51.17005988,0,0.87932926,-1.22360081,53.59541487
337,52.22798950,1,0.52641684,0.86533596,53.83421185
338,45.31889366,1,1.12228823,3.57077838,41.77645270
339,44.98501318,0,0.61806901,-0.10111637,41.48644843
340,67.93163660,0,0.37817019,1.59455973,61.24410529
341,42.89008270,0,0.89921616,1.64035267,41.14132169
342,53.93211646,0,1.14690462,-0.53179528,55.73915836
343,39.03499998,0,0.82487003,-1.99352200,45.04224314
344,50.83043275,0,-0.41495060,-0.83333105,49.05230823
345,58.82183860,0,-0.02134477,1.14145147,50.51963169
346,42.41566773,0,-0.36323679,2.03038828,46.08998642
347,53.80302674,0,-1.25436740,-0.78087075,55.71896507
348,25.09042949,0,-0.12531348,-0.73595698,30.81422185
349,43.91161536,0,0.10648486,-2.15934178,47.67480498
350,55.74511022,0,0.15884658,2.05898851,43.52554285
351,38.37583936,0,-0.38895351,2.92473567,34.14290523
352,53.62727919,1,1.33934586,-0.81619573,52.69705664
353,59.37418726,0,-0.95344130,-0.83892908,59.10029153
354,61.98837217,1,2.30695795,1.80436308,60.21791099
355,46.29709126,0,-1.19524860,0.47915041,41.99918270
356,47.55976339,0,-0.89018538,-0.96385756,47.22788643
357,51.90597089,0,-0.26746952,1.08512571,49.28968398
358,44.02271628,0,0.46217584,-1.13481442,44.61599634
359,49.43915524,1,1.68147399,-1.36226276,58.04608555
360,54.50229911,0,0.51441627,-2.29330888,57.61984074
361,46.80631258,0,-0.21569478,-0.84834564,50.91867021
362,61.48546921,0,-0.37456736,-0.47943938,60.72484090
363,45.31521323,1,1.94060622,1.42958451,55.08485170
364,57.49841411,1,0.90551098,2.27381011,52.59734528
365,60.25466822,1,0.99058343,0.88856243,60.92032047
366,43.91430252,0,0.43240595,1.50057913,46.60850175
367,58.11715780,1,0.89784837,1.32639767,58.65396639
368,57.53804088,0,-1.12854706,0.40355981,53.13943844
369,54.94177017,1,0.38704871,2.50596530,52.41849678
370,34.71982573,0,0.22693649,0.09532981,43.75029999
371,74.32452715,1,1.06087736,0.11589670,70.67386515
372,36.30640143,0,1.52485277,-1.53103295,46.49545575
373,54.90883631,1,1.30823242,1.88789285,54.00998886
374,36.58743659,0,0.39671130,2.00504888,35.25267757
375,38.02100907,0,0.64241625,-0.09607059,43.47508642
376,59.69427937,1,1.34046937,3.66325749,55.53711502
377,51.80133578,1,0.28792152,2.14011844,45.73680067
378,82.96869555,1,0.20584458,2.78794871,68.28206271
379,34.70477763,0,-0.92487496,0.03229228,36.18965820
380,44.05468725,1,1.38066077,1.92843350,45.70463146
381,51.73628664,1,2.58139630,0.22700153,53.31916933
382,47.51473218,1,1.47784055,-0.08621695,53.10067931
383,65.87694832,1,0.69177402,-0.07650562,60.39841010
384,22.87631293,0,-1.86305079,1.63483434,25.71085669
385,50.92802103,0,0.61124749,0.33578630,52.80801952
386,36.66099979,0,0.65756202,-0.72615904,37.47136881
387,53.43950714,1,2.05784034,1.19865526,48.42742998
388,50.85154253,0,0.20938672,0.94489490,50.71380845
389,54.53374364,1,0.12415269,2.71189627,52.86000299
390,59.21506044,1,-0.66488131,2.50469979,56.93156905
391,56.98833571,1,-0.29729602,2.74458220,48.40250721
392,53.92324279,1,1.56002799,0.65994885,52.63441623
393,61.25702249,1,0.52695926,-1.51433557,64.07970840
394,65.00915163,0,-0.21461682,2.97963615,60.07585954
395,29.51146472,0,1.04676111,-0.66604144,36.05574213
396,47.65400983,0,1.14170661,-1.36086597,50.01042892
397,55.63337876,0,-0.07021656,-1.38040503,58.21103564
398,47.18432167,1,1.17649609,0.72439860,58.90019218
399,53.52997062,1,0.00263839,2.23659106,49.94935686
400,42.60964299,0,1.76448985,0.71148179,44.63992179
401,59.33667405,1,1.10812204,0.25831070,63.73470563
402,70.11874372,1,-0.16092273,1.95410418,63.16434756
403,63.21633442,1,1.26813809,0.19636012,61.71688131
404,47.58264021,0,-0.83304916,0.27992640,49.41499184
405,49.85182239,1,1.30773303,0.10413190,53.28221711
406,46.87137154,1,1.62330147,1.81978301,42.67741046
407,60.76605668,1,1.99162022,1.75200845,53.49728537
408,53.77970313,1,0.91618476,0.09926481,54.70665308
409,40.75185630,0,0.69483982,-0.18580802,45.52884410
410,53.15883940,0,0.54989814,0.17643428,49.94036609
411,55.71736055,1,0.50572195,3.70711287,49.37179542
412,46.31259157,0,0.43774073,-0.08604987,47.07151826
413,49.67071902,0,-1.11894355,0.37343774,49.80471257
414,55.12550907,1,0.62112126,-0.72546300,57.94659708
415,52.41725186,1,0.52418120,1.31168304,52.88485892
416,63.40089431,0,-0.52839007,-0.33225186,56.59125779
417,46.47185996,0,-0.29239265,-0.80352925,50.34225771
418,51.40374922,1,1.65581737,1.92200364,55.87288715
419,58.23718104,0,0.19742186,0.12995311,52.84166031
420,34.24665719,0,-0.13185048,-0.35904469,39.64730048
421,68.39661215,1,0.10573468,0.53506791,71.47021720
422,29.07480407,0,-1.22586114,0.60749016,31.68475723
423,36.55370754,0,1.09712400,-0.51482742,41.24462194
424,69.85036817,1,-0.17454547,2.92522416,59.28213087
425,47.30717905,0,0.45059804,-0.09448616,46.28576383
426,47.82382094,0,-0.57126232,1.54464529,46.37144047
427,48.98183516,0,-0.17956526,-0.82578394,53.10901132
428,55.45462072,1,1.03642090,3.96927597,49.50940754
429,54.72940658,0,0.04024814,0.81113378,54.68689031
430,40.62221887,1,0.79401109,2.55473057,41.96173822
431,37.66759924,0,0.03648497,-0.79875395,39.67817623
432,49.66583190,0,0.12242921,1.46651810,46.19587024
433,35.37654859,0,0.26440093,-0.93436295,48.30271013
434,46.78656322,0,0.16577147,1.95356127,42.00543393
435,58.20540540,1,0.83916083,1.44211961,54.96672315
436,48.70324220,0,-0.50592270,-0.32350678,49.78305607
437,40.26175837,0,-0.91942241,0.53955642,44.18369109
438,39.96368982,0,-0.64791602,2.29176482,36.28436697
439,51.07944438,0,0.89586611,-0.38253952,56.28157797
440,67.72278067,1,1.59081794,2.85524288,59.18887629
441,54.73085051,0,0.58682700,0.17688018,53.58702916
442,48.59340245,0,1.42814087,1.78156940,51.18713444
443,39.88450373,0,0.17677570,2.58910887,36.38588856
444,42.42507631,0,-0.13834865,0.75682735,38.56926998
445,47.46999213,1,1.37009992,-1.29351041,55.21981540
446,42.04194667,0,-0.63211254,1.06238745,40.87327139
447,47.86611602,0,0.39398995,-0.39072530,53.00577479
448,41.60990534,0,-0.99804233,-0.65997418,44.46974288
449,65.96109009,1,1.09706925,0.37581981,63.72555269
450,55.67346067,1,0.51460812,0.31328088,64.92730414
451,29.57945537,0,-0.47818925,-0.78457293,36.23015736
452,28.37452147,0,0.16463245,-0.15655822,34.08478975
453,48.61585787,0,-0.07601977,1.80455685,52.76041089
454,54.53750662,1,1.54021981,4.77138953,52.03679214
455,28.65258154,0,-0.06492801,-0.61974172,32.26159012
456,58.03541114,1,2.10397880,2.58083868,54.25114935
457,51.37749871,0,0.34721526,-1.63436386,48.36013381
458,42.29980793,0,-0.55591319,0.10335327,43.32744490
459,39.87798054,0,0.13050001,0.33563733,42.30197674
460,45.98553015,0,1.00271042,1.00199576,41.51808216
461,64.59382805,1,1.81581536,-1.12588327,66.05879090
462,44.48020987,0,0.08470216,0.16728126,42.04146824
463,53.38896754,0,0.72988186,1.60241502,47.55029082
464,63.56768851,1,0.30134039,1.29071946,69.27427056
465,37.85896113,0,-0.20598106,-0.02958506,40.20146514
466,56.96732865,0,0.65794188,0.06124747,55.12997453
467,52.46938482,1,1.71461775,0.51027760,57.85768899
468,38.27671027,0,0.54835967,2.01547345,35.17591023
469,59.39693210,1,1.64391562,2.48974168,59.66279471
470,63.15377480,1,0.39201306,0.99412705,56.82611127
471,50.22674417,1,0.44986206,-0.66160550,60.93407514
472,42.73926668,0,0.40034288,1.16219041,42.87662437
473,58.23215010,1,1.78035976,1.40570471,60.82150185
474,52.63251887,0,0.04282766,-0.19894078,56.35410319
475,44.73755358,1,2.80092129,0.71388932,53.90650067
476,58.41548484,1,0.04896566,-0.60568628,64.69456146
477,38.62257259,0,0.73044055,-0.07071291,45.23505359
478,55.48013749,1,1.11643412,-0.30281615,61.76585752
479,54.25329293,0,-1.14620059,-2.15191249,51.85293336
480,47.20182802,0,0.31113207,1.00858420,43.65329681
481,49.19707412,0,0.49199515,1.55905524,45.41259931
482,67.41799323,1,1.63840655,2.06403090,59.87448792
483,48.25192797,0,0.46001507,-0.52283321,54.86336861
484,49.09718558,1,1.30350058,0.74343479,53.14481513
485,46.24210196,1,2.91097280,1.90928329,47.77055175
486,56.92720850,1,1.04014167,0.98828446,61.17880579
487,47.82132460,1,1.34544787,-0.08306921,55.55326162
