student_id,encouragement_assignment,tutoring_received,baseline_math_score,end_term_math_score
IV0165,0,1,63.044859,83.512981
IV0166,0,0,57.624429,73.936607
IV0167,1,0,55.716341,78.635807
IV0168,0,0,43.42286,65.355678
IV0169,1,1,41.157261,77.914204
IV0170,1,1,56.872719,75.792626
IV0171,1,0,64.938555,85.605402
IV0172,1,1,77.555398,95.352833
IV0173,1,1,74.255411,80.552953
IV0174,0,0,62.855328,78.365796
IV0175,1,0,52.331031,89.089026
IV0176,0,0,69.738288,99.404462
IV0177,0,0,59.250326,88.669027
IV0178,0,0,70.592836,80.748691
IV0179,1,1,64.234625,88.657403
IV0180,0,0,77.364972,95.28917
IV0181,1,1,71.953843,93.482158
IV0182,1,1,66.608062,78.784856
IV0183,0,0,74.361038,83.925877
IV0184,1,1,54.818153,90.503027
IV0185,1,1,75.066668,108.183663
IV0186,0,0,53.973464,95.210059
IV0187,1,0,55.196448,78.034206
IV0188,0,0,71.673906,85.890691
IV0189,0,0,73.206231,96.364071
IV0190,0,0,78.800659,85.559556
IV0191,1,1,79.362285,95.594769
IV0192,0,0,64.498764,75.470236
IV0193,0,0,67.747663,95.600867
IV0194,0,0,77.161489,82.11348
IV0195,1,1,53.329393,88.505242
IV0196,1,1,72.70586,82.128634
IV0197,1,0,64.563451,80.901064
IV0198,1,0,75.599181,87.275083
IV0199,1,1,65.629121,82.948384
IV0200,0,0,83.141787,90.116002
IV0201,1,1,62.916938,85.325377
IV0202,1,0,52.644908,87.772493
IV0203,1,1,60.952505,87.262903
IV0204,0,0,51.835502,73.696633
IV0205,1,1,93.052378,109.063407
IV0206,0,0,71.579952,78.350272
IV0207,1,0,63.926862,92.280699
IV0208,1,1,62.426087,99.220375
IV0209,0,0,75.75583,83.43294
IV0210,1,1,63.298602,78.084021
IV0211,1,1,73.177032,93.468791
IV0212,0,0,59.74129,74.547569
IV0213,1,1,55.162297,65.267951
IV0214,0,0,61.940515,62.977122
IV0215,0,0,79.399678,85.74233
IV0216,1,1,73.512318,84.117691
IV0217,1,1,53.378689,86.020756
IV0218,1,1,49.518864,72.878231
IV0219,0,0,77.024192,72.800958
IV0220,1,0,58.333784,77.927166
IV0221,1,1,62.646148,80.896402
IV0222,1,0,61.437023,82.833122
IV0223,1,0,60.673605,83.702932
IV0224,0,0,57.375964,73.177924
IV0225,1,1,62.381101,73.871507
IV0226,0,0,59.302135,79.787676
IV0227,1,0,72.15882,84.921578
IV0228,0,0,75.330912,97.467008
IV0229,1,1,54.884293,74.290639
IV0230,0,0,42.852366,77.19887
IV0231,1,0,65.273156,76.088787
IV0232,0,0,62.709718,89.995684
IV0233,1,1,68.660999,97.513434
IV0234,0,0,80.865863,85.778628
IV0235,1,1,70.049181,102.2177
IV0236,1,1,74.344582,89.082129
IV0237,1,0,77.75633,86.928132
IV0238,1,0,76.265331,79.223384
IV0239,1,1,75.848813,103.330541
IV0240,0,1,89.109042,87.918726
IV0241,0,0,70.272061,92.901886
IV0242,0,0,69.390678,95.845428
IV0243,0,0,60.369601,75.237155
IV0244,1,1,67.358267,85.827161
IV0245,0,0,56.92281,89.156637
IV0246,1,0,69.372239,92.148995
IV0247,0,0,70.602772,93.335879
IV0248,1,1,64.496558,97.13373
IV0249,0,1,79.516135,94.977402
IV0250,0,0,61.007961,78.158855
IV0251,0,0,65.88559,83.144758
IV0252,0,1,76.194188,100.19389
IV0253,1,1,50.310772,75.516347
IV0254,1,1,62.169499,95.622907
IV0255,0,0,49.46036,86.413844
IV0256,1,0,67.291704,87.912367
IV0257,0,1,61.020126,92.312392
IV0258,0,0,69.025341,91.702481
IV0259,1,1,64.636033,90.423209
IV0260,0,0,68.932995,95.080471
IV0261,1,1,69.70599,82.376376
IV0262,1,1,81.213988,92.162733
IV0263,1,1,45.765386,82.364689
IV0264,0,0,69.925467,68.953406
IV0265,1,1,72.046269,81.549333
IV0266,0,0,68.528892,74.914443
IV0267,0,0,67.71502,83.917329
IV0268,1,0,72.545671,97.86742
IV0269,0,0,65.773858,101.483459
IV0270,0,0,62.0719,75.445091
IV0271,1,1,68.722029,90.237734
IV0272,0,0,62.799613,70.278423
IV0273,1,1,51.539946,79.058615
IV0274,0,0,78.5285,89.306559
IV0275,1,1,69.389888,92.615246
IV0276,0,0,66.955566,77.536321
IV0277,1,1,68.396795,98.581915
IV0278,1,0,63.330258,85.948547
IV0279,0,0,54.267693,84.477008
IV0280,1,0,72.246277,78.87848
IV0281,1,1,68.073106,86.569561
IV0282,1,1,52.246692,56.670487
IV0283,1,1,52.959882,85.093609
IV0284,0,0,62.46632,87.221852
IV0285,1,0,75.598747,89.234991
IV0286,1,0,57.877866,81.262148
IV0287,1,1,59.195688,77.308023
IV0288,0,0,65.856727,82.244738
IV0289,0,0,64.419996,83.846427
IV0290,1,1,56.240396,80.358709
IV0291,0,0,64.185917,84.506043
IV0292,0,0,56.336347,74.650575
IV0293,0,0,41.247199,69.048145
IV0294,0,0,59.515764,74.007942
IV0295,0,0,52.399821,90.947067
IV0296,0,1,65.062362,95.023045
IV0297,1,1,63.96153,85.033952
IV0298,0,0,67.305482,80.0546
IV0299,0,0,60.24233,84.953148
IV0300,1,1,68.911004,84.987974
IV0301,1,1,58.067602,93.479209
IV0302,0,0,71.994911,78.150169
IV0303,1,1,57.938703,81.256866
IV0304,0,0,70.323865,86.584898
IV0305,0,0,66.820322,93.553347
IV0306,0,0,76.872818,75.129164
IV0307,1,1,59.126563,85.493495
IV0308,0,0,45.916087,77.333703
IV0309,1,1,50.146035,82.042098
IV0310,0,1,54.214427,77.81222
IV0311,1,0,65.862471,87.739618
IV0312,0,0,52.464399,70.290498
IV0313,0,1,73.527921,99.573834
IV0314,1,0,60.844281,76.517664
IV0315,0,0,68.417192,71.884771
IV0316,1,1,75.668107,90.13063
IV0317,0,0,68.765789,94.458167
IV0318,0,0,54.944942,82.659046
IV0319,0,0,63.066896,76.106085
IV0320,0,0,68.940355,89.616866
IV0321,0,0,62.11832,76.404944
IV0322,1,1,65.280694,84.17812
IV0323,0,0,64.001809,92.285693
IV0324,0,0,75.83117,90.407993
IV0325,1,0,54.451549,88.862626
IV0326,1,1,67.344847,91.135916
IV0327,0,0,66.79718,81.582462
IV0328,1,0,71.215868,86.754355
IV0329,0,0,71.878773,77.485159
IV0330,1,1,66.649598,92.802224
IV0331,0,0,62.15324,88.974664
IV0332,0,0,66.305534,90.770307
IV0333,0,0,55.275673,77.988197
IV0334,1,1,57.943116,101.056782
IV0335,1,0,71.09028,85.604246
IV0336,1,0,68.465361,64.394069
IV0337,0,0,62.695754,77.723724
IV0338,0,0,62.424238,83.000135
IV0339,0,0,73.046286,87.040542
IV0340,0,0,56.320157,91.052743
IV0341,1,1,45.927207,73.359298
IV0342,0,0,57.059349,70.735253
IV0343,1,0,59.31363,75.574749
IV0344,1,0,90.545851,93.779811
IV0345,0,0,73.526695,82.940524
IV0346,1,1,68.463717,85.000112
IV0347,0,0,55.464355,69.5269
IV0348,1,1,67.017273,88.060864
IV0349,0,0,49.759175,81.692513
IV0350,1,1,60.99297,89.372607
IV0351,1,1,74.487651,95.740797
IV0352,1,0,79.59384,88.864034
IV0353,0,0,63.932839,76.282789
IV0354,0,0,67.485707,96.461129
IV0355,0,0,58.99351,63.606914
IV0356,0,0,56.371484,78.157516
IV0357,0,0,53.911815,77.741981
IV0358,0,0,62.167188,76.564726
IV0359,0,0,74.494696,86.190413
IV0360,0,0,56.372988,71.960291
IV0361,1,1,50.589735,79.312274
IV0362,1,1,53.100158,80.397077
IV0363,0,0,72.548173,80.449837
IV0364,1,0,66.247031,83.327779
IV0365,1,0,70.507093,89.729334
IV0366,1,1,63.828221,100.595154
IV0367,1,1,56.611026,80.089676
IV0368,1,1,64.872946,98.747338
IV0369,1,1,59.811963,94.06382
IV0370,1,1,67.42665,87.275294
IV0371,1,0,68.363005,81.056976
IV0372,1,0,63.606399,85.865979
IV0373,0,0,69.809889,86.764731
IV0374,1,0,59.856707,74.723611
IV0375,0,1,72.026035,88.299473
IV0376,0,0,54.484179,75.732276
IV0377,1,1,53.652098,91.572057
IV0378,1,1,65.237471,91.821902
IV0379,1,1,66.458456,82.984785
IV0380,0,0,82.55081,90.720658
IV0381,0,0,65.051451,86.802709
IV0382,1,0,68.043672,93.29878
IV0383,1,0,62.37938,83.667064
IV0384,1,1,53.720984,92.856596
IV0385,1,1,74.771179,82.212427
IV0386,1,0,64.61586,89.165644
IV0387,1,1,60.428074,90.413901
IV0388,1,0,43.655339,70.35708
IV0389,0,0,79.580478,103.911224
IV0390,1,1,63.083199,89.472138
IV0391,1,1,46.547601,78.414516
IV0392,1,1,72.027191,85.9846
IV0393,1,0,82.670487,94.54498
IV0394,1,0,50.490104,67.991917
IV0395,1,1,61.399619,86.252417
IV0396,0,0,63.450997,76.963195
IV0397,1,1,80.540356,89.353979
IV0398,1,1,73.243787,90.597505
IV0399,1,1,70.105956,78.070686
IV0400,1,0,67.728429,89.182004
IV0401,0,0,55.29157,81.869557
IV0402,1,1,57.29468,93.54995
IV0403,1,0,58.609916,69.594252
IV0404,0,0,59.860064,71.63837
IV0405,0,1,74.483856,85.494154
IV0406,0,0,49.523959,65.158638
IV0407,1,0,62.866619,81.155047
IV0408,0,0,59.320529,79.203298
IV0409,1,0,52.920447,72.800999
IV0410,1,1,69.267443,85.005452
IV0411,1,1,71.859557,99.280469
IV0412,0,0,70.871471,83.383447
IV0413,1,0,68.16141,91.944109
IV0414,0,0,84.443774,87.563373
IV0415,0,0,70.012914,94.793581
IV0416,0,0,57.989217,84.555875
IV0417,1,0,69.979416,85.003676
IV0418,0,0,69.453204,86.32203
IV0419,1,1,69.663315,75.260554
IV0420,0,0,73.007599,87.135955
IV0421,1,0,68.289878,90.292424
IV0422,0,0,69.03674,77.103708
IV0423,1,1,71.669366,87.099914
IV0424,1,0,72.080975,82.323407
IV0425,0,0,57.586037,86.012762
IV0426,0,0,64.711063,73.953672
IV0427,1,1,65.720274,97.573354
IV0428,1,1,79.213195,93.294498
IV0429,1,0,60.127495,84.784139
IV0430,1,1,70.899208,92.64975
IV0431,1,1,83.098551,95.653015
IV0432,1,0,63.414548,73.942203
IV0433,0,0,77.263132,86.152844
IV0434,0,0,53.42184,81.78889
IV0435,0,0,65.150176,77.664692
IV0436,0,0,68.509077,79.799936
IV0437,0,0,49.000378,78.596598
IV0438,0,1,74.315512,99.139474
IV0439,1,1,59.90413,95.798359
IV0440,0,0,60.117201,73.080356
IV0441,1,1,67.548182,75.281459
IV0442,1,1,58.923399,75.342883
IV0443,1,0,58.689437,91.445118
IV0444,1,0,55.187309,83.086671
IV0445,0,0,68.739296,78.255891
IV0446,0,0,59.427307,83.663431
IV0447,1,0,68.701048,83.445907
IV0448,0,0,75.089415,92.825741
IV0449,0,0,56.786274,80.111418
IV0450,1,1,59.818469,79.979872
IV0451,0,0,71.447564,86.911619
IV0452,0,0,57.418997,80.895263
IV0453,1,1,69.04294,87.564905
IV0454,1,0,73.270088,76.730287
IV0455,1,0,61.41074,88.238869
IV0456,1,0,75.010305,80.068869
IV0457,0,0,54.899809,69.69489
IV0458,0,0,64.993205,83.850109
IV0459,0,0,56.727198,85.278887
IV0460,1,1,67.315168,87.084927
IV0461,1,1,65.41598,87.3956
IV0462,1,1,54.254299,94.057057
IV0463,0,0,68.872545,92.144331
IV0464,1,1,75.356488,96.143097
IV0465,1,1,74.529261,96.619111
IV0466,0,0,53.976903,76.913676
IV0467,1,1,52.951039,81.898441
IV0468,1,1,67.944575,81.164611
IV0469,0,1,63.252719,80.999059
IV0470,1,0,66.001778,95.91973
IV0471,0,0,53.846297,81.391335
IV0472,1,1,64.442881,86.416991
IV0473,1,1,64.721047,86.870472
IV0474,1,1,63.357445,85.183652
IV0475,0,1,70.641583,95.686233
IV0476,0,0,58.53606,88.858879
IV0477,1,0,57.152327,76.204712
IV0478,0,0,79.211477,87.888938
IV0479,0,1,49.888417,73.796642
IV0480,0,1,69.548544,92.942219
IV0481,1,1,55.322193,85.784799
IV0482,0,0,46.631644,69.459412
IV0483,0,0,65.123168,84.281125
IV0484,1,1,53.414349,76.086474
IV0485,1,0,75.745536,81.497249
IV0486,1,0,61.564337,75.461165
IV0487,0,0,60.335114,81.413348
IV0488,1,0,76.841293,82.447951
IV0489,1,0,62.082052,78.275669
IV0490,0,0,66.468227,78.957057
IV0491,1,0,54.06684,69.456719
IV0492,1,0,63.629468,81.223437
IV0493,1,1,58.82589,90.630758
IV0494,0,0,53.750997,69.895012
IV0495,0,0,43.95313,81.863913
IV0496,1,1,46.786772,72.71336
IV0497,1,0,60.30579,79.518185
IV0498,0,0,70.966732,86.737616
IV0499,0,0,67.313116,73.870191
IV0500,0,0,61.889421,75.510289
IV0501,0,1,88.632269,91.715429
IV0502,1,1,57.086816,91.790698
IV0503,1,1,65.131749,85.487533
IV0504,1,1,60.168576,90.067794
IV0505,1,1,70.69373,99.838115
IV0506,1,0,74.58781,83.954833
IV0507,1,0,84.06631,90.777283
IV0508,1,1,60.511898,88.606305
IV0509,0,0,73.679927,83.732021
IV0510,1,1,64.270239,87.899058
IV0511,1,0,46.984857,76.714825
IV0512,0,0,53.193381,71.676354
IV0513,1,1,83.205239,102.471744
IV0514,1,0,58.278528,85.696465
IV0515,1,1,57.214339,80.452525
IV0516,1,1,73.990608,89.162059
IV0517,0,0,61.793237,74.056259
IV0518,1,1,79.93863,100.40502
IV0519,1,0,62.867239,82.896419
IV0520,0,0,72.520437,86.625579
IV0521,1,0,47.758909,74.915851
IV0522,0,0,57.064345,81.467323
IV0523,1,1,62.290496,82.72606
IV0524,1,1,55.648882,73.013994
IV0525,0,0,53.164824,65.360127
IV0526,0,0,60.88482,57.425618
IV0527,0,0,68.405541,81.011087
IV0528,0,0,64.340127,73.34918
IV0529,1,1,71.525529,102.15177
IV0530,0,0,56.363735,73.711042
IV0531,1,0,65.874707,83.133603
IV0532,0,1,71.943943,94.665607
IV0533,1,1,51.755726,85.319064
IV0534,1,1,43.955062,85.707056
IV0535,1,0,66.90774,88.983776
IV0536,0,0,64.355184,96.188958
IV0537,1,1,67.899189,86.122438
IV0538,1,0,69.92531,91.96211
IV0539,0,0,70.429989,83.471463
IV0540,0,0,89.010827,81.612281
IV0541,1,1,65.343074,87.169929
IV0542,1,1,62.963546,72.787581
IV0543,1,1,58.323577,80.000141
IV0544,0,0,82.002894,94.796255
IV0545,0,0,70.971235,84.450896
IV0546,0,0,73.742036,83.382408
IV0547,0,0,58.48433,84.955632
IV0548,0,0,80.099892,93.983031
IV0549,1,1,90.247034,101.180756
IV0550,0,0,57.41843,80.272771
IV0551,0,0,67.611953,83.956635
IV0552,0,0,73.384138,97.259634
IV0553,1,1,69.3764,84.451505
IV0554,0,0,55.419426,94.205977
IV0555,1,1,60.032407,92.765433
IV0556,0,0,68.214606,73.932006
IV0557,0,0,43.152383,69.676785
IV0558,1,1,71.55851,97.199808
IV0559,1,1,73.776594,86.787118
IV0560,0,0,82.200798,84.882776
IV0561,0,0,61.391331,80.727109
IV0562,0,0,67.947476,78.306142
IV0563,0,0,62.423442,88.283775
IV0564,1,1,50.947947,73.99428
IV0565,1,0,53.663856,69.172714
IV0566,0,1,59.024169,87.160318
IV0567,0,0,53.565232,87.56698
IV0568,1,1,60.010859,97.870339
IV0569,0,0,74.923872,78.399973
IV0570,0,0,60.661347,78.191593
IV0571,1,1,59.335966,99.178337
IV0572,0,0,72.47545,100.968731
IV0573,1,1,58.372077,81.826359
IV0574,0,0,63.175817,83.343684
IV0575,1,0,62.67798,83.521003
IV0576,0,0,80.688647,92.944568
IV0577,0,0,57.445058,71.563617
IV0578,1,1,56.461573,76.351032
IV0579,0,0,65.86366,96.938466
IV0580,1,0,74.941726,90.862795
IV0581,1,1,83.336696,82.263857
IV0582,0,0,55.054756,72.818429
IV0583,1,1,77.800507,94.456818
IV0584,1,0,65.89741,80.244791
IV0585,1,1,65.466301,79.270604
IV0586,0,0,75.238177,86.395439
IV0587,1,0,76.250806,87.802546
IV0588,1,1,62.741321,99.160904
IV0589,0,0,71.606598,80.144
IV0590,0,1,76.266983,100.758656
IV0591,1,1,87.32493,97.290336
IV0592,0,0,61.438838,73.566956
IV0593,1,1,60.802784,89.692833
IV0594,1,1,63.40244,89.865041
IV0595,1,0,65.661528,84.418675
IV0596,1,1,53.705471,77.225299
IV0597,0,0,70.064007,80.565343
IV0598,1,1,77.510304,100.608635
IV0599,0,0,63.648193,89.152236
IV0600,1,0,70.731538,93.171194
IV0601,1,0,65.592669,89.690943
IV0602,0,0,64.128845,83.69383
IV0603,0,0,57.581247,72.433398
IV0604,1,1,58.551936,78.48401
IV0605,1,0,68.296524,88.060223
IV0606,1,1,71.080373,96.307011
IV0607,0,1,76.050199,94.676044
IV0608,1,1,74.381344,89.558433
IV0609,1,0,66.112703,71.566413
IV0610,0,0,78.834633,85.614937
IV0611,1,0,53.956125,78.814205
IV0612,1,1,76.358086,98.679481
IV0613,0,0,44.63484,81.074406
IV0614,1,1,70.782276,90.146286
IV0615,1,0,47.628966,76.266147
IV0616,1,1,67.2241,93.317754
IV0617,0,0,55.579582,70.300971
IV0618,0,0,67.893342,86.301013
IV0619,1,0,42.169539,72.717552
IV0620,1,1,52.489247,65.294703
IV0621,1,1,64.988629,89.478626
IV0622,1,1,63.1564,86.440592
IV0623,0,0,57.033685,71.973069
IV0624,0,0,78.596962,93.028511
IV0625,1,1,58.322982,86.632482
IV0626,0,0,69.574994,86.158973
IV0627,1,1,67.560382,95.742548
IV0628,1,0,82.179916,90.056242
IV0629,0,0,63.883231,71.368449
IV0630,0,0,74.680287,85.721338
IV0631,0,0,71.017485,84.820064
IV0632,0,0,76.526768,94.576933
IV0633,1,1,67.817176,91.121738
IV0634,1,0,65.735496,92.626693
IV0635,0,0,84.167626,92.410437
IV0636,1,1,65.642629,85.54817
IV0637,0,0,56.569409,81.760827
IV0638,1,1,78.277606,84.64158
IV0639,1,1,71.374768,96.446274
IV0640,0,0,81.017908,89.62816
IV0641,1,0,62.153025,74.958334
IV0642,0,0,65.250516,75.336019
IV0643,0,0,59.118101,73.447879
IV0644,1,1,54.783449,89.076644
IV0645,0,1,55.900875,83.462658
IV0646,1,1,68.868684,96.039104
IV0647,0,0,52.931508,88.783135
IV0648,1,0,69.526553,77.967893
IV0649,0,0,57.715326,72.210624
IV0650,0,0,67.907215,89.055784
IV0651,0,1,61.314257,82.762354
IV0652,1,1,84.234179,96.25519
IV0653,0,0,76.595311,87.82447
IV0654,0,0,72.524473,79.282442
IV0655,1,0,66.01836,88.77937
IV0656,1,1,81.185024,91.466478
IV0657,1,1,66.794934,77.866137
IV0658,0,0,70.142318,90.589402
IV0659,0,1,51.249994,90.515716
IV0660,0,0,50.732626,71.127052
IV0661,1,0,61.076328,89.9335
IV0662,1,1,58.468102,78.128979
IV0663,0,0,79.620468,86.077771
IV0664,0,0,69.631471,76.661006
IV0665,1,0,67.638833,80.391727
IV0666,1,1,64.771745,74.317303
IV0667,0,0,72.65859,75.617025
IV0668,0,0,74.958171,82.49381
IV0669,0,0,72.735914,92.199222
IV0670,0,0,64.944223,78.616142
IV0671,1,0,79.904829,96.516106
IV0672,0,0,73.091943,81.298818
IV0673,0,0,71.644094,96.096744
IV0674,1,0,63.992267,78.031334
IV0675,1,1,62.222824,88.965329
IV0676,1,1,52.535009,69.720833
IV0677,0,1,59.763115,87.787437
IV0678,0,1,72.181258,90.846302
IV0679,1,0,54.296458,73.655176
IV0680,0,0,78.506042,76.223551
IV0681,1,1,48.576348,75.839064
IV0682,1,1,75.28194,91.371603
IV0683,0,0,65.275624,72.703295
IV0684,1,1,65.674887,91.331554
IV0685,0,1,68.899444,92.539846
IV0686,0,0,60.141802,79.788202
IV0687,0,0,59.332371,69.620284
IV0688,0,0,56.447438,77.581369
IV0689,0,0,66.248276,83.852889
IV0690,0,0,73.470202,91.664884
IV0691,0,0,60.296647,80.533076
IV0692,0,0,59.008622,82.440943
IV0693,1,1,66.784674,87.905229
IV0694,1,1,61.43701,89.89544
IV0695,0,0,46.474642,70.358019
IV0696,1,1,64.617776,93.956724
IV0697,0,0,77.964025,93.371469
IV0698,1,1,60.177718,94.571498
IV0699,0,0,81.699942,96.888313
IV0700,0,0,82.287557,86.051371
IV0701,1,1,67.00686,81.075152
IV0702,1,1,56.657146,73.605117
IV0703,1,0,58.502394,78.025667
IV0704,0,0,61.5978,80.793073
IV0705,0,0,77.829365,86.424719
IV0706,0,0,48.395821,64.801443
IV0707,0,0,79.150405,97.456477
IV0708,1,0,59.515358,87.7248
IV0709,1,1,63.812123,85.395859
IV0710,0,0,45.257328,68.789365
IV0711,1,1,59.407788,82.497718
IV0712,0,0,84.990873,93.677903
IV0713,0,0,57.739299,85.459121
IV0714,0,0,61.85764,91.841028
IV0715,1,1,66.551079,101.529238
IV0716,0,0,54.894203,73.960013
IV0717,1,0,55.144367,79.064916
IV0718,1,0,63.844069,77.923428
IV0719,1,0,64.77486,85.543783
IV0720,0,0,69.718161,69.477526
IV0721,1,1,81.159669,87.315778
IV0722,0,0,57.169219,75.587516
IV0723,0,0,46.146911,76.251594
IV0724,1,1,56.285877,79.126942
IV0725,0,0,44.175391,74.165689
IV0726,0,1,67.440101,100.28286
IV0727,1,1,51.123485,86.241696
IV0728,0,0,62.344559,76.757683
IV0729,1,1,56.112681,79.81409
IV0730,1,0,72.446572,96.891504
IV0731,1,1,64.16697,101.501688
IV0732,0,0,49.714967,67.963504
IV0733,0,0,59.562061,75.762214
