applicant_id,diagnostic_score,centered_score,tutoring_eligible,baseline_gpa,end_term_math_score
RD0078,59.938211,-0.061789,1,2.328877,62.918016
RD0079,65.015116,5.015116,0,2.763215,64.28945
RD0080,64.622795,4.622795,0,2.897612,65.513483
RD0081,55.928116,-4.071884,1,2.813259,59.317863
RD0082,63.359293,3.359293,0,3.212476,75.266727
RD0083,60.463066,0.463066,0,3.30294,64.936075
RD0084,64.128408,4.128408,0,2.872696,67.545887
RD0085,53.704214,-6.295786,1,2.590853,64.718094
RD0086,69.694749,9.694749,0,2.335245,74.306647
RD0087,59.825635,-0.174365,1,2.712795,78.02219
RD0088,61.787118,1.787118,0,2.539932,63.808003
RD0089,57.852964,-2.147036,1,2.737699,62.828237
RD0090,42.105675,-17.894325,1,2.756694,62.783222
RD0091,62.812045,2.812045,0,3.146899,70.853558
RD0092,69.011862,9.011862,0,2.674414,66.587708
RD0093,58.166162,-1.833838,1,2.840615,67.334321
RD0094,48.020491,-11.979509,1,2.944674,75.151078
RD0095,62.223295,2.223295,0,2.74246,67.437865
RD0096,61.87243,1.87243,0,2.944657,70.981637
RD0097,53.631788,-6.368212,1,3.245822,72.065488
RD0098,63.811924,3.811924,0,2.652718,72.941532
RD0099,54.272121,-5.727879,1,2.605988,70.415338
RD0100,61.133344,1.133344,0,2.988139,77.63036
RD0101,63.461103,3.461103,0,3.043374,64.799715
RD0102,67.42773,7.42773,0,3.061486,63.036203
RD0103,52.078116,-7.921884,1,2.404619,65.881069
RD0104,54.665852,-5.334148,1,2.763595,70.083713
RD0105,68.02368,8.02368,0,3.343462,74.22019
RD0106,40.000001,-19.999999,1,2.864542,67.650432
RD0107,59.047292,-0.952708,1,2.946649,65.23445
RD0108,79.999999,19.999999,0,3.574282,89.391173
RD0109,65.159499,5.159499,0,3.19314,68.400381
RD0110,68.262761,8.262761,0,3.065389,68.070652
RD0111,57.5786,-2.4214,1,2.727591,72.690093
RD0112,65.172413,5.172413,0,2.80048,74.662143
RD0113,65.297396,5.297396,0,3.059299,68.569269
RD0114,66.556028,6.556028,0,3.297195,63.644569
RD0115,68.828999,8.828999,0,3.936243,61.299601
RD0116,48.063919,-11.936081,1,2.186618,69.138229
RD0117,65.15606,5.15606,0,2.388469,69.482644
RD0118,63.474856,3.474856,0,3.54977,70.172734
RD0119,70.939568,10.939568,0,2.935418,80.082649
RD0120,52.696551,-7.303449,1,2.366451,72.028837
RD0121,57.043385,-2.956615,1,2.434572,62.755648
RD0122,40.000001,-19.999999,1,2.349301,64.893477
RD0123,66.746546,6.746546,0,2.893258,74.821995
RD0124,65.197929,5.197929,0,2.359856,61.790743
RD0125,48.491915,-11.508085,1,2.887228,72.987185
RD0126,61.361515,1.361515,0,2.592411,63.902847
RD0127,55.697995,-4.302005,1,2.776333,73.349702
RD0128,74.552852,14.552852,0,3.401409,74.324832
RD0129,42.532844,-17.467156,1,1.660135,68.001127
RD0130,57.263183,-2.736817,1,3.15433,75.70301
RD0131,57.139994,-2.860006,1,2.752703,68.376404
RD0132,63.229101,3.229101,0,2.808177,73.761654
RD0133,76.156011,16.156011,0,3.438312,70.791755
RD0134,65.542205,5.542205,0,2.564729,72.65261
RD0135,69.306932,9.306932,0,3.515386,77.284213
RD0136,53.709035,-6.290965,1,2.424516,65.902873
RD0137,60.463391,0.463391,0,2.693094,71.277013
RD0138,65.995521,5.995521,0,2.967572,67.573029
RD0139,54.273044,-5.726956,1,2.620445,70.230784
RD0140,58.756354,-1.243646,1,2.945271,72.055596
RD0141,68.573315,8.573315,0,2.836268,72.830206
RD0142,71.627309,11.627309,0,3.051366,71.039207
RD0143,58.345785,-1.654215,1,3.351067,70.460791
RD0144,52.582953,-7.417047,1,2.354019,74.113374
RD0145,60.23634,0.23634,0,2.550055,65.568527
RD0146,68.734285,8.734285,0,3.152619,70.610441
RD0147,40.000001,-19.999999,1,1.898345,73.204789
RD0148,59.896028,-0.103972,1,2.157707,73.821394
RD0149,67.388521,7.388521,0,2.92604,66.036298
RD0150,76.699486,16.699486,0,2.762235,81.539721
RD0151,69.748189,9.748189,0,2.36481,76.191286
RD0152,51.792537,-8.207463,1,2.469851,69.928027
RD0153,79.999999,19.999999,0,3.076945,77.80836
RD0154,60.111177,0.111177,0,3.00371,66.840908
RD0155,55.835262,-4.164738,1,2.739466,61.14246
RD0156,61.36472,1.36472,0,2.630972,77.871138
RD0157,78.274136,18.274136,0,2.78111,77.271188
RD0158,65.645442,5.645442,0,2.774225,69.240111
RD0159,69.858481,9.858481,0,3.574784,67.797988
RD0160,62.162729,2.162729,0,2.700247,68.117689
RD0161,55.116236,-4.883764,1,2.546834,77.580772
RD0162,65.013519,5.013519,0,2.861497,72.012764
RD0163,54.166811,-5.833189,1,2.226156,63.114621
RD0164,58.523779,-1.476221,1,2.881648,71.810646
RD0165,66.866167,6.866167,0,2.87988,70.493573
RD0166,54.578062,-5.421938,1,2.107348,66.375807
RD0167,48.105213,-11.894787,1,2.006723,64.887307
RD0168,51.487618,-8.512382,1,2.373312,62.09236
RD0169,75.400625,15.400625,0,3.159442,72.661366
RD0170,57.230998,-2.769002,1,2.739818,63.613911
RD0171,50.017749,-9.982251,1,2.343877,64.417052
RD0172,62.77034,2.77034,0,2.926957,64.640564
RD0173,53.493566,-6.506434,1,2.895031,67.645684
RD0174,54.73073,-5.26927,1,2.611943,65.259628
RD0175,57.627762,-2.372238,1,3.207197,66.738914
RD0176,57.446904,-2.553096,1,1.599281,69.102787
RD0177,67.850058,7.850058,0,2.959495,70.815629
RD0178,61.822202,1.822202,0,2.769432,59.372984
RD0179,40.89355,-19.10645,1,2.093332,61.213168
RD0180,73.663368,13.663368,0,2.935583,83.499533
RD0181,56.847148,-3.152852,1,2.917272,68.979982
RD0182,57.190169,-2.809831,1,2.95946,67.715007
RD0183,52.559735,-7.440265,1,2.367859,60.164873
RD0184,62.199705,2.199705,0,2.660468,61.585778
RD0185,49.107381,-10.892619,1,2.644192,64.148292
RD0186,65.48884,5.48884,0,3.02223,68.336327
RD0187,61.390304,1.390304,0,2.977494,71.745696
RD0188,61.913866,1.913866,0,2.769605,62.531425
RD0189,64.579317,4.579317,0,3.133697,71.802393
RD0190,61.470887,1.470887,0,3.07817,65.865399
RD0191,55.588738,-4.411262,1,2.694069,69.60872
RD0192,58.779103,-1.220897,1,3.10347,72.450376
RD0193,53.48291,-6.51709,1,2.355935,74.159139
RD0194,63.416716,3.416716,0,2.839754,68.031934
RD0195,62.144433,2.144433,0,3.132731,66.496725
RD0196,65.725248,5.725248,0,3.184336,73.852887
RD0197,65.087201,5.087201,0,3.361221,73.906661
RD0198,77.91091,17.91091,0,3.025561,79.86766
RD0199,67.381438,7.381438,0,3.293263,67.6062
RD0200,65.554069,5.554069,0,2.965845,75.052342
RD0201,64.272276,4.272276,0,3.240141,70.079412
RD0202,69.70097,9.70097,0,3.479451,75.020581
RD0203,59.48765,-0.51235,1,2.411407,66.990956
RD0204,64.967519,4.967519,0,2.648553,65.221177
RD0205,79.999999,19.999999,0,3.900877,78.012724
RD0206,55.601382,-4.398618,1,2.780904,68.505318
RD0207,57.648959,-2.351041,1,3.10634,76.289792
RD0208,54.982655,-5.017345,1,2.31574,65.941964
RD0209,59.192993,-0.807007,1,3.274527,67.829203
RD0210,68.430304,8.430304,0,2.922861,78.280898
RD0211,73.424268,13.424268,0,3.666382,78.196919
RD0212,49.599571,-10.400429,1,2.858143,76.442223
RD0213,47.621782,-12.378218,1,3.10363,74.758423
RD0214,49.71184,-10.28816,1,2.639469,63.702824
RD0215,54.120013,-5.879987,1,2.957118,63.215768
RD0216,64.641972,4.641972,0,2.499309,66.612415
RD0217,41.980031,-18.019969,1,2.413438,62.613563
RD0218,53.903851,-6.096149,1,2.660647,66.199904
RD0219,61.984277,1.984277,0,2.18267,62.066696
RD0220,72.848942,12.848942,0,2.852468,74.958411
RD0221,48.420937,-11.579063,1,2.794784,71.644402
RD0222,70.845474,10.845474,0,3.092408,72.127979
RD0223,63.707385,3.707385,0,2.666782,65.878766
RD0224,64.358565,4.358565,0,2.592752,74.701308
RD0225,56.841207,-3.158793,1,2.065063,59.787485
RD0226,59.414537,-0.585463,1,2.967098,69.135317
RD0227,51.547196,-8.452804,1,2.326868,65.286289
RD0228,65.353475,5.353475,0,3.12511,68.973816
RD0229,69.513786,9.513786,0,2.952537,59.290744
RD0230,61.602618,1.602618,0,2.795283,62.709758
RD0231,67.332011,7.332011,0,3.25477,75.445466
RD0232,47.956342,-12.043658,1,2.727634,70.698825
RD0233,53.202232,-6.797768,1,3.231828,63.28244
RD0234,59.531678,-0.468322,1,2.635587,56.943257
RD0235,65.219328,5.219328,0,2.92163,74.267076
RD0236,49.441365,-10.558635,1,2.677295,61.333678
RD0237,51.496442,-8.503558,1,2.628538,61.312182
RD0238,64.746111,4.746111,0,2.771353,59.884556
RD0239,51.806943,-8.193057,1,2.665425,65.903435
RD0240,66.417673,6.417673,0,3.059605,71.238237
RD0241,60.697029,0.697029,0,3.267238,64.221015
RD0242,69.205675,9.205675,0,3.315667,69.99326
RD0243,64.322283,4.322283,0,2.858892,71.733526
RD0244,43.241909,-16.758091,1,2.100647,67.396091
RD0245,64.778696,4.778696,0,2.986436,71.828098
RD0246,68.06168,8.06168,0,2.259259,70.928384
RD0247,52.08524,-7.91476,1,2.557643,65.413831
RD0248,61.923952,1.923952,0,2.594223,71.294291
RD0249,57.547251,-2.452749,1,3.076014,69.852708
RD0250,63.162634,3.162634,0,3.122307,73.241247
RD0251,53.117491,-6.882509,1,2.645518,60.811498
RD0252,70.586697,10.586697,0,3.345136,68.805777
RD0253,63.078999,3.078999,0,2.926354,73.996562
RD0254,56.591286,-3.408714,1,2.353759,69.833822
RD0255,56.720929,-3.279071,1,3.079478,61.947258
RD0256,40.651657,-19.348343,1,1.760909,67.493317
RD0257,56.372736,-3.627264,1,3.167869,67.542567
RD0258,74.467927,14.467927,0,3.286128,68.643372
RD0259,59.856755,-0.143245,1,2.503162,73.999938
RD0260,73.83021,13.83021,0,3.025645,78.870987
RD0261,64.198625,4.198625,0,2.920126,67.676812
RD0262,59.394321,-0.605679,1,2.685788,63.225349
RD0263,57.376943,-2.623057,1,2.136009,68.504619
RD0264,56.781402,-3.218598,1,2.673745,67.206303
RD0265,56.25313,-3.74687,1,3.344419,70.574287
RD0266,66.500893,6.500893,0,3.057691,67.545753
RD0267,53.056636,-6.943364,1,2.580664,75.01499
RD0268,64.758158,4.758158,0,2.686142,72.148655
RD0269,49.571424,-10.428576,1,2.258069,61.067436
RD0270,59.356863,-0.643137,1,3.102691,78.060555
RD0271,67.175896,7.175896,0,3.281061,67.018469
RD0272,58.241054,-1.758946,1,2.747945,68.594029
RD0273,53.669662,-6.330338,1,2.578511,66.746759
RD0274,58.469292,-1.530708,1,2.621798,71.786854
RD0275,73.076651,13.076651,0,3.490532,78.966448
RD0276,55.181658,-4.818342,1,2.051104,66.898269
RD0277,70.116041,10.116041,0,2.510024,64.742467
RD0278,52.529876,-7.470124,1,2.904813,79.245786
RD0279,65.655874,5.655874,0,3.066082,72.401599
RD0280,73.17769,13.17769,0,3.076431,76.492334
RD0281,56.763576,-3.236424,1,2.845742,67.293517
RD0282,59.026621,-0.973379,1,2.902539,70.433388
RD0283,40.000001,-19.999999,1,2.09344,77.891589
RD0284,54.627078,-5.372922,1,2.744041,64.744206
RD0285,57.547439,-2.452561,1,2.36477,69.452427
RD0286,60.511153,0.511153,0,2.307346,72.667312
RD0287,57.131023,-2.868977,1,2.608542,62.120587
RD0288,70.545831,10.545831,0,2.909885,74.011407
RD0289,40.571441,-19.428559,1,2.064791,59.921535
RD0290,54.533013,-5.466987,1,2.948348,69.626586
RD0291,46.898851,-13.101149,1,2.391053,69.208626
RD0292,77.504975,17.504975,0,3.416452,87.41518
RD0293,54.292164,-5.707836,1,2.815459,68.519436
RD0294,61.103963,1.103963,0,2.918159,70.724857
RD0295,69.183313,9.183313,0,3.9305,72.681153
RD0296,70.592295,10.592295,0,3.353146,77.760894
RD0297,65.011687,5.011687,0,2.822545,61.639304
RD0298,70.756785,10.756785,0,2.895136,69.061709
RD0299,44.11722,-15.88278,1,2.594525,70.819347
RD0300,61.555611,1.555611,0,3.058033,66.216757
RD0301,69.722461,9.722461,0,2.58369,67.243169
RD0302,40.000001,-19.999999,1,2.103881,62.90277
RD0303,64.751857,4.751857,0,3.193276,70.886565
RD0304,50.672438,-9.327562,1,2.880195,70.183421
RD0305,65.930328,5.930328,0,3.946566,62.822085
RD0306,62.345893,2.345893,0,2.974395,61.46131
RD0307,45.455583,-14.544417,1,2.883218,62.21779
RD0308,42.077922,-17.922078,1,1.923331,66.238321
RD0309,59.980435,-0.019565,1,2.774252,65.444556
RD0310,55.277057,-4.722943,1,3.037769,71.79574
RD0311,66.664517,6.664517,0,3.101231,79.415356
RD0312,48.342976,-11.657024,1,2.133361,75.104973
RD0313,43.148374,-16.851626,1,2.474337,63.158967
RD0314,68.127022,8.127022,0,2.355843,63.110137
RD0315,67.12994,7.12994,0,2.992424,68.30629
RD0316,59.712421,-0.287579,1,2.768551,81.14797
RD0317,55.603806,-4.396194,1,2.711355,72.284993
RD0318,59.573953,-0.426047,1,2.714462,78.684033
RD0319,68.783515,8.783515,0,3.28261,71.828508
RD0320,57.768292,-2.231708,1,3.065426,72.326468
RD0321,66.986026,6.986026,0,3.010339,78.510111
RD0322,79.292734,19.292734,0,3.182864,81.204393
RD0323,51.150432,-8.849568,1,2.547677,75.449765
RD0324,72.970662,12.970662,0,2.884255,73.80341
RD0325,61.151621,1.151621,0,2.387804,61.480336
RD0326,40.000001,-19.999999,1,2.008453,65.19675
RD0327,58.403488,-1.596512,1,2.536394,65.798327
RD0328,68.040839,8.040839,0,2.568453,75.401113
RD0329,52.669458,-7.330542,1,2.636382,70.568983
RD0330,66.767762,6.767762,0,2.609075,68.914484
RD0331,71.532018,11.532018,0,2.711291,69.580049
RD0332,40.000001,-19.999999,1,1.853817,63.272521
RD0333,49.128166,-10.871834,1,2.5427,65.406625
RD0334,48.644646,-11.355354,1,2.233534,67.895151
RD0335,60.891147,0.891147,0,2.78655,63.35101
RD0336,68.499983,8.499983,0,3.115595,63.844161
RD0337,67.808067,7.808067,0,3.036249,67.062168
RD0338,57.567666,-2.432334,1,2.479834,76.965996
RD0339,64.428517,4.428517,0,2.56094,67.600469
RD0340,54.050644,-5.949356,1,2.880128,65.171853
RD0341,61.487502,1.487502,0,2.786522,56.507046
RD0342,53.375872,-6.624128,1,2.693925,67.360263
RD0343,40.000001,-19.999999,1,2.557145,68.899713
RD0344,63.466739,3.466739,0,2.469332,62.57229
RD0345,70.488898,10.488898,0,3.399833,68.131428
RD0346,46.598052,-13.401948,1,2.330221,62.135793
RD0347,65.664317,5.664317,0,3.158898,76.432846
RD0348,65.231101,5.231101,0,2.595008,68.620665
RD0349,51.947496,-8.052504,1,2.64415,70.436527
RD0350,63.382318,3.382318,0,2.794739,75.321468
RD0351,54.830204,-5.169796,1,2.16124,67.04308
RD0352,41.476365,-18.523635,1,2.222837,77.713162
RD0353,63.211857,3.211857,0,3.019593,68.832812
RD0354,56.822594,-3.177406,1,2.780117,68.893729
RD0355,57.611701,-2.388299,1,3.035232,74.254508
RD0356,61.542621,1.542621,0,2.812143,72.740663
RD0357,44.421763,-15.578237,1,2.679302,66.715529
RD0358,41.133099,-18.866901,1,1.89022,59.983799
RD0359,47.878605,-12.121395,1,2.471038,66.975048
RD0360,44.965939,-15.034061,1,2.564588,69.164804
RD0361,66.67753,6.67753,0,2.943145,74.002227
RD0362,73.440221,13.440221,0,3.646803,83.530274
RD0363,58.943257,-1.056743,1,2.767185,72.312547
RD0364,65.322911,5.322911,0,2.550982,75.87766
RD0365,64.382721,4.382721,0,2.7367,69.028681
RD0366,57.689915,-2.310085,1,3.426886,64.268158
RD0367,58.689456,-1.310544,1,3.736029,75.218578
RD0368,61.668389,1.668389,0,2.666682,71.444917
RD0369,62.134361,2.134361,0,2.276967,65.522201
RD0370,58.566674,-1.433326,1,2.387538,67.578622
RD0371,63.765225,3.765225,0,2.731075,63.43067
RD0372,40.000001,-19.999999,1,2.223278,72.037467
RD0373,73.87233,13.87233,0,2.902974,69.969208
RD0374,65.657943,5.657943,0,3.018898,76.161806
RD0375,52.358956,-7.641044,1,2.683901,68.842785
RD0376,47.723047,-12.276953,1,2.728085,73.878172
RD0377,62.371587,2.371587,0,2.269998,62.169549
RD0378,67.156015,7.156015,0,2.452903,70.680816
RD0379,60.61071,0.61071,0,2.904183,68.101805
RD0380,55.247792,-4.752208,1,2.325192,55.599083
RD0381,48.33713,-11.66287,1,2.535192,58.582613
RD0382,74.53756,14.53756,0,3.003075,81.480291
RD0383,47.606582,-12.393418,1,2.506883,67.478723
RD0384,71.291295,11.291295,0,3.063841,69.538283
RD0385,75.949035,15.949035,0,3.626486,83.097122
RD0386,56.1409,-3.8591,1,2.352237,73.426448
RD0387,70.54233,10.54233,0,3.167438,74.560937
RD0388,70.083995,10.083995,0,3.332778,78.438582
RD0389,78.86179,18.86179,0,2.882133,80.295051
RD0390,40.000001,-19.999999,1,2.207259,75.571963
RD0391,62.234103,2.234103,0,3.069912,68.229339
RD0392,55.225114,-4.774886,1,2.742431,74.375482
RD0393,45.657309,-14.342691,1,1.702193,66.975884
RD0394,60.560088,0.560088,0,3.025317,66.417079
RD0395,62.656681,2.656681,0,2.749018,73.05444
RD0396,63.333246,3.333246,0,2.668458,61.740507
RD0397,74.256144,14.256144,0,3.454061,76.887895
RD0398,65.259513,5.259513,0,3.220061,71.832746
RD0399,72.315502,12.315502,0,3.30142,75.386018
RD0400,65.034566,5.034566,0,2.359673,69.110266
RD0401,54.266599,-5.733401,1,2.853695,71.553393
RD0402,72.450456,12.450456,0,3.008419,75.106814
RD0403,66.625986,6.625986,0,2.886169,68.898112
RD0404,57.289251,-2.710749,1,3.035819,72.947481
RD0405,64.464773,4.464773,0,2.450076,62.13427
RD0406,63.861821,3.861821,0,2.939483,72.38073
RD0407,70.801744,10.801744,0,2.971184,71.886382
RD0408,65.101908,5.101908,0,2.860598,72.561038
RD0409,67.489325,7.489325,0,3.037904,69.409416
RD0410,49.26137,-10.73863,1,2.381678,62.024254
RD0411,64.446458,4.446458,0,3.165704,74.933251
RD0412,61.597066,1.597066,0,2.857122,66.88467
RD0413,60.826271,0.826271,0,2.897257,67.481278
RD0414,43.722419,-16.277581,1,1.961816,71.709967
RD0415,70.281881,10.281881,0,3.437868,78.026924
RD0416,54.520057,-5.479943,1,2.442768,82.040033
RD0417,51.656954,-8.343046,1,2.134514,68.989411
RD0418,52.598581,-7.401419,1,3.026908,60.587236
RD0419,74.448788,14.448788,0,3.414046,76.866453
RD0420,56.313846,-3.686154,1,2.989431,73.239816
RD0421,70.383505,10.383505,0,3.161217,71.537185
RD0422,68.961872,8.961872,0,3.063051,65.841479
RD0423,55.565143,-4.434857,1,2.439267,72.373293
RD0424,56.530912,-3.469088,1,2.74985,79.353847
RD0425,78.881012,18.881012,0,3.366668,72.535751
RD0426,54.080719,-5.919281,1,3.212215,63.356502
RD0427,57.458698,-2.541302,1,2.607444,64.521448
RD0428,67.254685,7.254685,0,2.963026,77.656992
RD0429,48.702943,-11.297057,1,2.454486,57.369731
RD0430,67.018276,7.018276,0,2.850134,70.150434
RD0431,58.40527,-1.59473,1,2.302816,73.598591
RD0432,63.884404,3.884404,0,2.748367,77.21118
RD0433,59.39669,-0.60331,1,3.49217,75.740292
RD0434,64.271976,4.271976,0,2.761112,65.833737
RD0435,62.243605,2.243605,0,2.944112,71.381497
RD0436,50.965668,-9.034332,1,2.180715,68.039265
RD0437,63.146996,3.146996,0,3.009628,61.22384
RD0438,74.852198,14.852198,0,3.278061,73.762977
RD0439,79.999999,19.999999,0,3.093066,81.052686
RD0440,50.687607,-9.312393,1,2.208015,61.804378
RD0441,57.621288,-2.378712,1,2.266572,58.396348
RD0442,55.895854,-4.104146,1,2.651696,68.635021
RD0443,43.348932,-16.651068,1,2.348929,75.943261
RD0444,42.619257,-17.380743,1,2.226503,71.370614
RD0445,65.501082,5.501082,0,3.014634,72.978369
RD0446,79.999999,19.999999,0,3.14456,77.477998
RD0447,66.976267,6.976267,0,2.729028,73.005518
RD0448,57.324038,-2.675962,1,2.259756,63.228719
RD0449,53.961137,-6.038863,1,2.58798,66.75273
RD0450,68.374765,8.374765,0,2.326533,71.367791
RD0451,44.350927,-15.649073,1,1.980844,68.856169
RD0452,59.172623,-0.827377,1,2.445932,76.579868
RD0453,64.76612,4.76612,0,3.21113,74.805394
RD0454,56.315086,-3.684914,1,2.604071,69.322069
RD0455,74.201918,14.201918,0,3.836437,75.45919
RD0456,55.885481,-4.114519,1,2.22953,66.965696
RD0457,66.789597,6.789597,0,2.944802,63.84004
RD0458,52.146621,-7.853379,1,2.212082,65.172887
RD0459,62.69187,2.69187,0,3.035537,68.673985
RD0460,76.775285,16.775285,0,3.132516,85.271083
RD0461,49.611664,-10.388336,1,2.143057,69.298651
RD0462,51.071364,-8.928636,1,3.10894,74.928686
RD0463,53.876166,-6.123834,1,3.043619,57.334059
RD0464,58.946285,-1.053715,1,2.321113,81.822332
RD0465,74.604942,14.604942,0,3.208474,71.530227
RD0466,64.104861,4.104861,0,3.160197,70.235202
RD0467,64.458159,4.458159,0,3.044529,64.998313
RD0468,55.835471,-4.164529,1,2.71282,72.687769
RD0469,45.050549,-14.949451,1,2.034587,74.041218
RD0470,55.448179,-4.551821,1,2.514595,69.909986
RD0471,52.103036,-7.896964,1,2.556753,69.416231
RD0472,71.090234,11.090234,0,3.521517,75.335437
RD0473,66.688791,6.688791,0,3.137402,65.055242
RD0474,64.562711,4.562711,0,2.14166,63.866864
RD0475,45.734277,-14.265723,1,2.634694,69.155053
RD0476,55.862155,-4.137845,1,2.468226,76.049697
RD0477,66.989593,6.989593,0,2.988956,63.656959
RD0478,70.736681,10.736681,0,3.790613,75.851231
RD0479,55.397964,-4.602036,1,2.62911,70.19944
RD0480,71.85301,11.85301,0,3.036282,67.970132
RD0481,76.277044,16.277044,0,3.389032,78.313592
RD0482,45.299393,-14.700607,1,2.900948,67.274221
RD0483,66.969412,6.969412,0,2.612532,71.360378
RD0484,54.630376,-5.369624,1,2.741345,62.807086
RD0485,62.294886,2.294886,0,2.754911,65.045147
RD0486,54.500446,-5.499554,1,2.441521,73.923651
RD0487,63.855264,3.855264,0,2.8155,72.790556
RD0488,56.64647,-3.35353,1,2.686718,83.675156
RD0489,51.515468,-8.484532,1,2.342758,69.781998
RD0490,57.888228,-2.111772,1,3.449387,74.101749
RD0491,49.806737,-10.193263,1,3.096236,58.821379
RD0492,63.521478,3.521478,0,2.589033,68.56754
RD0493,77.4869,17.4869,0,3.394134,80.535932
RD0494,41.440877,-18.559123,1,2.427119,62.390609
RD0495,58.405287,-1.594713,1,2.5631,71.408103
RD0496,57.988768,-2.011232,1,2.842724,64.380713
RD0497,49.532039,-10.467961,1,2.562754,63.98295
RD0498,54.963302,-5.036698,1,2.699553,76.736791
RD0499,40.000001,-19.999999,1,2.646547,68.518849
RD0500,69.598631,9.598631,0,2.754196,66.476092
RD0501,55.985852,-4.014148,1,2.595137,64.219709
RD0502,67.510705,7.510705,0,3.625457,62.245098
RD0503,41.992198,-18.007802,1,2.340201,76.159648
RD0504,65.876333,5.876333,0,3.328755,72.382496
RD0505,56.735286,-3.264714,1,2.15218,75.178107
