person_id,site,baseline_stress,workshop_offer,attended_workshop,wellbeing_after
50,Cedar,41.71017986,1,0,65.60653714
51,Cedar,37.18006389,0,0,67.40896704
52,Cedar,59.00642920,0,0,62.63001846
53,Cedar,48.80414213,0,0,68.11387005
54,Cedar,46.37223450,1,0,64.37120800
55,Cedar,36.89402270,1,0,69.94239975
56,Cedar,63.55803855,0,0,60.35051072
57,Cedar,63.65734431,0,0,46.52797019
58,Cedar,49.80478683,1,0,59.69836433
59,Cedar,22.93279130,0,0,70.30018935
60,Cedar,60.59935996,0,0,52.54865031
61,Cedar,66.99294713,1,0,69.33672332
62,Cedar,40.74864534,0,0,67.41219097
63,Cedar,47.10381913,1,1,61.34559280
64,Cedar,56.01781815,0,0,50.21771925
65,Cedar,59.14738857,1,0,63.21154968
66,Cedar,45.79723303,1,0,49.72961081
67,Cedar,43.79843160,1,0,73.20133501
68,Cedar,51.13123284,1,1,63.62645689
69,Cedar,35.45971776,1,1,71.62352367
70,Cedar,49.11733453,1,1,65.01470702
71,Cedar,61.94104915,1,0,58.57715896
72,Cedar,54.37579106,0,0,62.53518823
73,Cedar,56.87506473,0,0,62.15014232
74,Cedar,39.82376241,1,0,65.28530761
75,Cedar,49.51827099,1,0,57.56396446
76,Cedar,45.43866358,1,0,65.17505386
77,Cedar,41.07191540,0,0,58.03271130
78,Cedar,40.53232462,1,1,72.28158750
79,Cedar,51.27096373,0,0,63.57950715
80,Cedar,36.09602015,1,0,60.65516662
81,Cedar,41.49927814,1,0,61.07849733
82,Cedar,30.94546221,0,0,72.88904945
83,Cedar,51.60401590,0,0,60.72152820
84,Cedar,65.49791639,0,0,70.06261689
85,Cedar,53.01041453,0,0,63.18750672
86,Cedar,37.85689982,0,0,70.11089101
87,Cedar,51.61255168,0,0,54.84219025
88,Cedar,39.26603647,1,0,67.79003897
89,Cedar,35.93692100,0,0,66.72120826
90,Cedar,39.99942294,1,0,65.86444959
91,Cedar,50.43642568,0,0,66.13653668
92,Cedar,49.00673997,0,0,58.40716021
93,Cedar,51.97743739,1,0,58.04077546
94,Cedar,49.19739523,0,0,54.75934802
95,Cedar,56.10649509,0,0,53.41005325
96,Cedar,65.16009836,1,0,60.97314098
97,Cedar,31.15027615,1,1,61.43737018
98,Cedar,45.66296489,0,0,62.80782087
99,Cedar,43.42242036,0,0,67.01461624
100,Cedar,40.68640179,0,0,61.80401920
101,Cedar,24.65487562,0,0,69.19928986
102,Cedar,46.98323358,0,0,65.25658822
103,Cedar,35.76362018,1,1,69.53811457
104,Cedar,36.20467125,0,0,66.48319852
105,Cedar,57.06155253,0,0,56.31488010
106,Cedar,42.06177610,1,1,67.35539539
107,Cedar,56.71410021,1,1,65.82893120
108,Cedar,52.89545216,1,1,62.72365377
109,Cedar,38.37739141,0,0,68.63890378
110,Cedar,50.57494701,1,1,52.40158957
111,Cedar,35.00221744,1,0,76.49510557
112,Cedar,57.46297042,0,0,42.13232272
113,Cedar,47.78011602,1,1,67.38411669
114,Cedar,45.45817996,0,0,54.86183355
115,Cedar,66.61110331,0,0,57.39155642
116,Cedar,49.82469680,1,1,54.06061302
117,Cedar,61.45874743,1,0,51.82177544
118,Cedar,44.60881899,0,0,64.10398119
119,Cedar,39.26753254,1,1,70.87910482
120,Cedar,44.84285335,0,0,57.89552188
121,Cedar,62.47547760,0,0,61.07897611
122,Cedar,49.31928206,1,0,63.08625943
123,Cedar,41.43748728,0,0,65.87529689
124,Cedar,53.88536507,0,0,62.67899317
125,Cedar,67.68006314,1,0,61.88326914
126,Cedar,62.43872102,0,0,55.64700445
127,Cedar,69.05587864,0,0,46.56244757
128,Cedar,37.65354940,0,0,62.33992531
129,Cedar,38.79387918,1,1,66.76667413
130,Cedar,39.92203475,1,1,61.04516850
131,Cedar,48.72237225,0,0,56.77366144
132,Cedar,49.77975094,0,0,58.74049685
133,Cedar,37.92802517,1,0,56.19006257
134,Cedar,44.40773373,1,0,67.92462257
135,Cedar,55.25284734,1,0,66.89717335
136,Cedar,42.31986009,0,0,62.93300965
137,Cedar,34.81985015,1,1,74.04321488
138,Cedar,56.99311436,1,0,61.62696709
139,Cedar,50.50440017,1,1,63.00169779
140,Cedar,57.90307562,1,0,63.11397487
141,Cedar,39.41067953,0,0,66.23515415
142,Cedar,34.22714367,0,0,72.34814257
143,Cedar,48.93590374,0,0,55.99218828
144,Cedar,46.87488730,0,0,54.90154556
145,Cedar,53.74453421,0,0,54.06316811
146,Cedar,34.97182258,0,0,75.27236550
147,Cedar,33.49350004,0,0,68.35206139
148,Cedar,45.30686043,0,0,57.85483517
149,Cedar,47.27832643,1,1,55.78469964
150,Cedar,33.26527310,1,1,79.47572389
151,Cedar,44.73951784,0,0,64.23539966
152,Cedar,42.70925406,1,1,58.89571178
153,Cedar,36.30530798,1,0,60.39138143
154,Cedar,35.27377586,0,0,61.92577118
155,Cedar,43.20891360,0,0,64.16237022
156,Cedar,46.53379243,0,0,61.41331513
157,Cedar,37.73489799,0,0,58.94851429
158,Cedar,54.01988327,0,0,47.84251306
159,Cedar,47.54355726,1,1,71.60585855
160,Cedar,42.78076342,0,0,58.23720117
161,Cedar,56.79990917,0,0,60.34650069
162,Cedar,37.62656899,1,1,76.15803422
163,Cedar,61.06481583,1,0,59.23643668
164,Cedar,39.48841946,0,0,77.85013155
165,Cedar,63.22076215,0,0,68.66048369
166,Cedar,48.53306243,0,0,68.06534769
167,Cedar,50.54124642,1,0,63.45753289
168,Cedar,37.94272655,1,1,59.34973547
169,Cedar,63.33155356,1,0,65.72646536
170,Cedar,45.60652747,1,0,73.16690032
171,Cedar,39.40004391,1,1,62.18945718
172,Cedar,42.74367813,0,0,60.89010506
173,Cedar,49.48100831,0,0,63.11459839
174,Cedar,50.06806865,0,0,65.06896889
175,Cedar,25.43558530,0,0,68.32687438
176,Cedar,50.34663919,1,0,63.87999669
177,Cedar,47.12727905,0,0,59.73628805
178,Cedar,50.25181828,0,0,63.81422591
179,Cedar,52.44310572,0,0,61.18864088
180,Cedar,36.45336352,0,0,65.06580838
181,Cedar,48.87571771,0,0,63.05646978
182,Cedar,32.50164559,0,0,72.39329140
183,Cedar,44.18650811,0,0,65.12234548
184,Cedar,40.96522281,0,0,72.71862794
185,Cedar,46.74370420,0,0,54.65697377
186,Cedar,52.57817940,0,0,54.18922578
187,Cedar,54.46551486,0,0,67.09671336
188,Cedar,37.18030830,0,0,62.96959513
189,Cedar,31.91913095,1,0,69.97542155
190,Cedar,50.51316254,1,0,61.94342248
191,Cedar,44.62298765,1,1,67.01451060
192,Cedar,58.36354452,0,0,67.57353630
193,Cedar,54.79890508,1,0,58.47955801
194,Cedar,40.84263103,1,0,61.37303513
195,Cedar,38.54433772,0,0,73.94131756
196,Cedar,55.54313764,0,0,62.04135276
197,Cedar,47.25133038,1,1,71.00884688
198,Cedar,50.46981435,1,0,62.24937782
199,Cedar,54.96396977,0,0,53.44258056
200,Cedar,53.43681962,1,1,62.56720506
201,Cedar,54.83112314,0,0,61.62100315
202,Cedar,33.65191391,1,1,75.81904148
203,Cedar,61.08833647,1,0,61.52559893
204,Cedar,41.37202492,1,1,62.98897939
205,Cedar,41.69485340,0,0,62.70932729
206,Cedar,47.77435069,1,0,67.57722707
207,Cedar,36.67625832,0,0,72.21812316
208,Cedar,50.61406583,0,0,67.22352647
209,Cedar,68.46516999,0,0,46.37863591
210,Cedar,47.96771207,1,1,60.09025516
211,Cedar,39.89723628,0,0,74.06308900
212,Cedar,59.36525725,0,0,61.63803002
213,Cedar,48.87287025,0,0,60.15742225
214,Cedar,47.27283267,1,0,63.71780689
215,Cedar,21.90259607,0,0,60.62724354
216,Cedar,45.01648717,1,1,58.03276566
217,Cedar,45.50363337,1,0,66.20778962
218,Cedar,49.14893706,1,0,64.52049437
219,Cedar,60.92542906,1,0,51.20708634
220,Cedar,63.17742887,0,0,55.72771470
221,Cedar,49.74823974,0,0,62.16250324
222,Cedar,52.18800412,0,0,71.59749062
223,Cedar,35.79085829,0,0,65.19350049
224,Cedar,59.74933708,0,0,61.28649433
225,Cedar,51.15172829,1,0,59.04593656
226,Cedar,49.79166836,1,0,65.20051631
227,Cedar,37.59499762,1,0,62.72399801
228,Cedar,45.68318780,1,0,53.71541943
229,Cedar,50.68650780,1,0,54.44514383
230,Cedar,60.44223588,1,1,61.68221047
231,Cedar,47.46308086,0,0,49.26825855
232,Cedar,40.99708114,0,0,62.03148387
233,Cedar,36.41754704,0,0,66.30141623
234,Cedar,44.36401725,0,0,62.44072219
235,Cedar,67.91996193,1,0,63.03205611
236,Cedar,35.65191726,0,0,65.06970427
237,Cedar,22.11114939,0,0,65.80631876
238,Cedar,37.83974230,0,0,59.07475408
239,Cedar,38.21412824,0,0,62.22503387
240,Cedar,41.90682901,0,0,66.12878544
241,Cedar,45.34914667,0,0,58.69283610
242,Cedar,49.89774814,0,0,63.81929451
243,Cedar,40.36184549,1,0,58.05407835
244,Cedar,45.57143203,1,0,69.46461770
245,Cedar,44.53049425,1,0,68.74025832
246,Cedar,31.73768460,0,0,64.90205611
247,Cedar,41.70814414,0,0,52.62082819
248,Cedar,44.40272455,1,0,57.59873486
249,Cedar,51.41386769,1,1,71.95371137
250,Cedar,56.73531068,1,1,59.82352997
251,Cedar,53.06049231,1,0,63.72596680
252,Cedar,37.49030215,1,0,71.18616647
253,Cedar,49.30111865,1,1,60.55713346
254,Cedar,43.64861482,0,0,61.52397053
255,Cedar,47.44454141,0,0,61.10376666
256,Cedar,49.56732780,1,0,55.54022063
257,Cedar,25.94338024,1,0,66.39683391
258,Cedar,27.65705067,1,1,70.39873591
259,Cedar,56.68014454,1,0,45.58667177
260,Cedar,36.79532485,1,0,71.78990708
261,Cedar,36.77214222,1,0,69.85985098
262,Cedar,41.00011413,1,0,69.63955838
263,Cedar,49.30013152,1,1,77.25299945
264,Cedar,56.26151833,0,0,57.33247635
265,Cedar,67.00289762,1,1,63.73528264
266,Cedar,60.49251302,0,0,64.37332558
267,Cedar,43.93658406,0,0,60.16093006
268,Cedar,58.55498821,1,0,63.82866073
269,Cedar,46.91277347,0,0,63.10337578
270,Cedar,47.39840922,0,0,59.99660292
271,Cedar,63.58322256,0,0,59.26241686
272,Cedar,41.15815749,0,0,71.35662658
273,Cedar,58.36267439,1,0,59.54417712
274,Cedar,43.28935978,0,0,59.19019029
275,Cedar,44.88015042,0,0,55.85663664
276,Cedar,51.81553632,0,0,64.38487347
277,Cedar,48.66427647,0,0,62.29556996
278,Cedar,43.02191894,1,0,64.13189884
279,Cedar,48.50232888,0,0,57.94199266
280,Cedar,39.72223648,0,0,69.61609742
281,Cedar,47.32020492,0,0,68.54014938
282,Cedar,60.86063049,0,0,58.46352731
283,Cedar,45.43251419,0,0,72.79570301
284,Cedar,40.78135620,0,0,60.77318320
285,Cedar,37.37493625,0,0,66.17511430
286,Cedar,31.33597545,1,1,68.07375452
287,Cedar,43.03895245,0,0,72.07638848
288,Cedar,46.78086204,0,0,59.42149328
289,Cedar,52.68085886,0,0,51.09059228
290,Cedar,36.42074764,0,0,74.37077603
291,Cedar,48.31952570,0,0,60.77290036
292,Cedar,38.14928154,0,0,62.28636150
293,Cedar,53.36925863,0,0,65.51341876
294,Cedar,32.45840038,1,1,77.13790919
295,Cedar,59.19170479,0,0,62.99477016
296,Cedar,48.95530971,0,0,51.17417331
297,Cedar,59.98661916,0,0,64.99749028
298,Cedar,28.48427528,1,0,72.19129402
299,Cedar,43.64208461,1,0,67.99766301
300,Cedar,43.71995263,0,0,69.78922277
301,Cedar,52.73695378,0,0,65.60972650
302,Cedar,39.53963029,0,0,70.83045313
303,Cedar,52.68878521,0,0,58.98297815
304,Cedar,47.25550156,0,0,57.48117616
305,Cedar,45.56549119,0,0,63.48057875
306,Cedar,46.08792166,0,0,57.40562450
307,Cedar,42.32896359,0,0,64.75329917
308,Cedar,56.73704879,0,0,61.52928917
309,Cedar,32.96052587,0,0,66.62858811
310,Cedar,49.81815561,0,0,56.38887004
311,Cedar,64.12049958,1,0,75.97142129
312,Cedar,29.34457691,1,0,60.87137930
313,Cedar,49.66477773,0,0,66.62812677
314,Cedar,48.00071371,1,0,62.39088888
315,Cedar,46.77863097,0,0,64.43565002
316,Cedar,45.89604980,0,0,62.32290678
317,Cedar,46.18076958,1,1,67.03134744
318,Cedar,47.40525600,1,0,60.24085636
319,Cedar,34.71393385,1,0,59.83667798
320,Cedar,51.33748366,1,0,57.37391672
321,Cedar,49.11495354,0,0,65.71978742
322,Cedar,45.44313514,0,0,71.01461384
323,Cedar,62.61846750,0,0,63.78466833
324,Cedar,53.77782211,1,0,64.08635018
325,Cedar,44.16243962,1,0,56.78606701
326,Cedar,48.09952054,0,0,63.40278287
327,Cedar,51.02551352,0,0,63.55961335
328,Cedar,31.57480062,0,0,75.18690856
329,Cedar,46.16828061,1,1,53.64733638
330,Cedar,32.79894119,1,0,70.04227661
331,Cedar,61.13768832,0,0,62.58914663
332,Cedar,54.93292972,0,0,57.99587983
333,Cedar,57.06653095,1,0,57.25017373
334,Cedar,45.62526924,1,1,62.54960563
335,Cedar,43.05021941,0,0,73.01051547
336,Cedar,56.47097929,0,0,57.41842838
337,Cedar,37.16934098,0,0,68.87477831
338,Cedar,51.25780964,1,0,62.87496194
339,Cedar,50.83574631,0,0,64.87646590
340,Cedar,54.12766257,0,0,59.79367423
341,Cedar,53.06619573,0,0,54.99265758
342,Cedar,47.63881734,1,0,52.72592081
343,Cedar,53.14402651,0,0,57.14379321
344,Cedar,58.15676185,1,0,59.02156782
345,Cedar,43.30565936,1,0,71.12065600
346,Cedar,54.44449805,1,0,63.58116264
347,Cedar,39.44648611,0,0,56.00666838
348,Cedar,37.82845216,1,1,74.39963996
349,Cedar,65.03200109,0,0,56.11682167
350,Cedar,40.67225410,1,0,57.48888624
351,Cedar,43.31466050,0,0,63.04145544
352,Cedar,50.18596025,0,0,56.58809988
353,Cedar,51.49464938,0,0,57.50979422
354,Cedar,40.81708200,0,0,65.22190425
355,Cedar,41.22189228,0,0,63.83281694
356,Cedar,53.71414652,1,0,63.07496627
357,Cedar,40.68218439,0,0,67.60886183
358,Cedar,36.42455517,0,0,65.78017702
359,Cedar,46.28777953,1,0,60.45557969
360,Cedar,53.86000976,1,0,67.33596721
361,Cedar,62.01468367,1,0,51.55111635
362,Cedar,56.72661994,0,0,58.10222295
363,Cedar,60.79330129,1,0,60.43898422
364,Cedar,55.31242792,0,0,66.90321392
365,Cedar,38.26512641,0,0,64.12296337
366,Cedar,46.89478855,1,0,60.75371657
367,Cedar,43.38615871,1,1,75.19992717
368,Cedar,54.24872576,0,0,60.38306725
369,Cedar,52.71675932,0,0,61.73396474
370,Cedar,50.71866340,1,0,67.28790753
371,Cedar,52.94120147,0,0,66.66952963
372,Cedar,74.11353784,0,0,64.47200635
373,Cedar,41.55675375,1,1,75.81182498
374,Cedar,48.65659341,0,0,60.92800020
375,Cedar,43.70929654,1,0,60.41914028
376,Cedar,43.98833356,0,0,53.49369029
377,Cedar,47.18388633,0,0,67.65772350
378,Cedar,49.49177448,0,0,57.12287082
379,Cedar,38.07814752,0,0,69.03021396
380,Cedar,49.88252881,1,0,56.90988282
381,Cedar,47.21362084,1,0,69.63833876
382,Cedar,47.70783025,0,0,75.17911404
383,Cedar,41.73256488,1,0,62.43489157
384,Cedar,49.58264248,1,0,64.86486573
385,Cedar,43.32949803,0,0,74.88862580
386,Cedar,62.57658157,1,1,67.49096817
387,Cedar,39.64786501,0,0,61.30970825
388,Cedar,53.58984037,1,0,67.20499607
389,Cedar,38.69046479,1,0,72.77854874
390,Cedar,46.16842140,1,0,71.98502910
391,Cedar,48.87175758,1,0,57.74865002
392,Cedar,49.83786026,1,0,57.12742219
393,Cedar,52.34401029,1,0,62.86081271
394,Cedar,42.21087907,0,0,57.73069271
395,Cedar,44.48701953,0,0,65.53423574
396,Cedar,52.62111738,0,0,71.14087048
397,Cedar,54.66854656,0,0,65.49937952
398,Cedar,52.88293159,0,0,60.34135069
399,Cedar,46.91031306,0,0,58.87092912
400,Cedar,31.92421862,1,0,64.69212131
401,Cedar,49.32934164,0,0,66.41479838
402,Cedar,34.94230579,0,0,64.89290420
403,Cedar,34.57742366,1,1,65.70355596
404,Cedar,53.70743541,0,0,61.14200755
405,Cedar,52.30304409,0,0,59.65570213
406,Cedar,51.56919478,0,0,63.33645679
407,Cedar,37.43911760,1,0,66.51080053
408,Cedar,48.02291111,1,0,58.64211366
409,Cedar,31.20433934,1,0,70.00216675
410,Cedar,55.03966670,0,0,60.92856877
411,Cedar,50.34463742,0,0,60.51058233
412,Cedar,39.85831570,1,0,60.08836506
413,Cedar,53.56055113,0,0,60.73779995
414,Cedar,38.67975785,0,0,68.65355388
415,Cedar,51.33789941,0,0,52.96959299
416,Cedar,45.92728599,1,1,66.72196319
417,Cedar,47.56530367,1,1,71.07932823
418,Cedar,30.02090296,0,0,66.27331505
419,Cedar,47.42962989,0,0,67.77172145
420,Cedar,44.30412998,0,0,64.96796829
421,Cedar,39.84308917,1,0,59.61165661
422,Cedar,59.96042731,0,0,64.27865958
423,Cedar,58.36830737,0,0,63.69501758
424,Cedar,58.13136250,0,0,55.80698408
425,Cedar,36.50270163,1,0,75.82317694
426,Cedar,52.44661149,1,0,65.72459665
427,Cedar,35.98381199,1,0,73.49367342
428,Cedar,53.41112849,0,0,60.13759029
429,Cedar,51.54266144,0,0,58.83117832
430,Cedar,45.47930669,0,0,54.55227715
431,Cedar,40.77530566,0,0,71.60966308
432,Cedar,39.73055815,0,0,56.85907057
433,Cedar,52.35325098,0,0,64.91523130
434,Cedar,45.60704012,0,0,62.18187112
435,Cedar,39.89652570,1,0,62.26502970
436,Cedar,49.11399708,1,0,61.93256592
437,Cedar,39.67090204,1,0,67.46125671
438,Cedar,42.85929308,0,0,54.83507533
439,Cedar,39.96861701,0,0,71.31394201
440,Cedar,38.67833496,0,0,63.42374470
441,Cedar,46.31310342,0,0,62.06567274
442,Cedar,26.93002262,0,0,77.76985765
443,Cedar,41.54169014,0,0,69.37630526
444,Cedar,44.98580644,1,0,59.66549151
445,Cedar,31.32995824,1,1,72.65123450
446,Cedar,39.95781732,1,0,66.76355739
447,Cedar,42.01096377,1,0,56.65265834
448,Cedar,46.73370945,1,0,62.49505977
449,Cedar,53.65460747,1,0,61.58513859
450,Cedar,54.57942108,0,0,59.10115295
451,Cedar,59.96099463,1,0,69.54414287
452,Cedar,35.44510840,1,0,55.12331690
453,Cedar,45.95995934,1,0,69.25228470
454,Cedar,51.23592911,0,0,64.12578236
455,Cedar,44.56564368,0,0,65.47002951
456,Cedar,50.49587017,0,0,53.86938991
457,Cedar,48.72065348,0,0,64.06705824
458,Cedar,40.65097704,0,0,64.65227944
459,Cedar,40.09072492,1,0,66.32850648
460,Cedar,44.42732913,0,0,62.04031220
461,Cedar,54.80103171,1,0,53.04805718
462,Cedar,43.46772436,1,1,72.56962269
463,Cedar,42.23104080,0,0,68.46659283
464,Cedar,66.91828421,0,0,55.88820764
465,Cedar,65.28305290,1,1,61.38694623
466,Cedar,55.04215651,1,1,56.75283123
467,Cedar,45.62371377,1,0,62.64384814
468,Cedar,54.79467995,1,1,55.97287827
469,Cedar,49.60541597,0,0,54.75588965
470,Cedar,44.88523590,1,0,74.62527507
471,Cedar,38.28783503,0,0,68.07884091
472,Cedar,57.09959196,0,0,59.38090552
473,Cedar,65.52235283,0,0,57.56198403
474,Cedar,43.37841420,0,0,59.51871830
475,Cedar,57.09405097,1,0,58.27650359
476,Cedar,54.83617279,0,0,62.43128800
477,Cedar,33.05135972,1,1,65.07166201
478,Cedar,47.14099290,0,0,55.69981307
479,Cedar,59.83777453,1,0,59.80675922
480,Cedar,34.95604314,1,0,66.05421350
481,Cedar,46.54684813,1,1,63.08343119
482,Cedar,51.55405443,0,0,62.05830817
483,Cedar,54.09768252,0,0,64.09816913
484,Cedar,37.99946188,0,0,65.17057528
485,Cedar,42.53655142,0,0,71.92464763
486,Cedar,39.42572598,0,0,71.29624912
487,Cedar,39.51959165,0,0,60.97167277
488,Cedar,43.97963793,1,1,67.29147734
489,Cedar,45.25258822,0,0,61.21119494
490,Cedar,42.55243404,0,0,71.43564940
491,Cedar,53.89125989,1,1,60.65699828
492,Cedar,53.92724999,1,0,58.57861076
493,Cedar,30.63274926,0,0,62.06363370
494,Cedar,39.35833771,1,0,61.52027685
495,Cedar,32.31707196,1,0,64.10801559
496,Cedar,49.37886811,0,0,60.67738743
497,Cedar,35.43929624,1,0,66.77493614
498,Cedar,43.35060335,1,1,65.42831007
499,Cedar,39.29430061,1,1,62.75216849
500,Cedar,47.35343166,0,0,62.60893219
501,Cedar,44.13405737,0,0,52.40325219
502,Cedar,53.23828900,0,0,48.06872727
503,Cedar,54.66839009,1,1,62.18795202
504,Cedar,54.37362959,0,0,65.09511286
505,Cedar,40.50497484,1,0,71.39356751
506,Cedar,57.51089639,0,0,64.36213972
507,Cedar,42.91363413,0,0,60.16407850
508,Cedar,49.99692631,1,0,66.92606330
509,Cedar,50.48612768,1,0,61.97863810
510,Cedar,43.29655125,1,1,68.98618171
511,Cedar,45.89320059,0,0,67.02544538
512,Cedar,58.41302637,0,0,55.39760097
513,Cedar,36.75387611,1,1,66.26134711
514,Cedar,61.18721077,1,0,55.07739901
515,Cedar,50.12756485,0,0,59.23668139
516,Cedar,53.81570448,0,0,60.32226098
517,Cedar,29.66494622,0,0,68.77122867
518,Cedar,58.30982137,1,1,62.30460300
519,Cedar,44.50995654,0,0,57.30172294
520,Cedar,37.60813699,1,0,70.00150381
521,Cedar,42.20473759,0,0,63.57451774
522,Cedar,41.11331525,1,1,66.22954882
523,Cedar,35.02161778,0,0,57.82820893
524,Cedar,36.14677798,0,0,66.51857816
525,Cedar,44.08725587,0,0,68.90934604
526,Cedar,55.90477638,1,0,62.66447896
527,Cedar,57.57458256,1,0,69.44508624
528,Cedar,58.84500920,0,0,65.76798771
529,Cedar,54.81751548,0,0,62.27642205
530,Cedar,40.89258633,1,1,71.30087652
531,Cedar,44.87854896,1,0,58.55640254
532,Cedar,59.46852613,1,0,57.55359158
533,Cedar,50.83190885,0,0,59.23338603
534,Cedar,51.48459674,0,0,64.71728482
535,Cedar,45.02408748,0,0,61.69611037
536,Cedar,52.13435058,0,0,58.15695025
537,Cedar,41.94111108,0,0,63.89122142
538,Cedar,51.19487033,0,0,56.49906440
539,Cedar,38.26380463,1,0,69.73872155
540,Cedar,46.36167692,1,0,55.50956514
541,Cedar,48.09789990,1,1,60.25507353
542,Cedar,40.89704807,1,1,64.12950693
543,Cedar,47.69616120,0,0,61.78309757
544,Cedar,56.60404796,0,0,60.26243941
545,Cedar,49.73802110,1,0,57.22689139
546,Cedar,37.69241635,0,0,55.47634603
547,Cedar,55.63113476,0,0,52.13451018
548,Cedar,38.22562181,1,1,75.86377238
549,Cedar,50.31390102,0,0,67.38552027
550,Cedar,44.50640924,1,0,66.68454949
551,Cedar,56.54315744,1,1,65.11184114
552,Cedar,55.41008463,0,0,65.05309419
553,Cedar,65.58937155,0,0,62.80431380
554,Cedar,53.29130082,0,0,71.86749789
555,Cedar,35.38485573,1,1,70.21983225
556,Cedar,74.56185508,0,0,45.10431108
557,Cedar,44.41453729,1,0,66.45736156
558,Cedar,62.90609325,0,0,53.92738802
559,Cedar,36.39817262,0,0,73.81050431
560,Cedar,47.35767177,1,0,63.36686633
561,Cedar,43.99299172,0,0,59.27280633
562,Cedar,51.84169235,1,1,67.76769882
563,Cedar,36.00842358,1,1,76.04466797
564,Cedar,46.33229693,1,1,65.45854963
565,Cedar,43.95191686,0,0,74.36505214
566,Cedar,54.78681769,1,0,54.71249761
567,Cedar,41.19820229,1,0,72.19845548
568,Cedar,31.37221756,1,0,70.63920991
569,Cedar,64.63632412,0,0,54.30540548
570,Cedar,47.31576633,1,0,63.96792642
571,Cedar,51.19750169,1,0,62.55959477
572,Cedar,56.87435407,0,0,56.99465616
573,Cedar,45.44153764,0,0,56.69502481
574,Cedar,57.59577892,1,0,56.16478008
575,Cedar,40.04300521,1,0,74.95828842
576,Cedar,57.94950339,1,0,70.25211511
577,Cedar,48.36256667,1,0,67.23313969
578,Cedar,45.25874417,0,0,55.27262731
579,Cedar,54.18126062,0,0,50.83357541
580,Cedar,36.33120485,1,0,61.25488740
581,Cedar,47.58686137,0,0,71.56431360
582,Cedar,42.57576461,0,0,72.70630296
583,Cedar,46.72364285,1,1,62.46895299
584,Cedar,45.80787016,0,0,62.42312210
585,Cedar,54.28751234,0,0,57.69578495
586,Cedar,49.85226950,0,0,70.10689519
587,Cedar,47.31943434,1,0,68.69313912
588,Cedar,44.60525004,1,0,56.87718422
589,Cedar,57.37850955,1,0,60.18643882
590,Cedar,59.48994997,1,0,63.76839605
591,Cedar,36.47378180,1,1,64.30034834
592,Cedar,41.30580127,0,0,65.09175640
593,Cedar,45.05059998,0,0,65.31258157
594,Cedar,39.13977958,0,0,66.87409816
595,Cedar,53.91025013,0,0,66.66608248
596,Cedar,43.73902626,0,0,58.39402485
597,Cedar,35.42052627,1,0,62.20123493
598,Cedar,56.76528051,0,0,54.98483089
599,Cedar,53.61975412,0,0,51.15109719
600,Cedar,43.70568717,1,0,65.73132001
601,Cedar,46.52829309,0,0,65.40600925
602,Cedar,52.86182916,0,0,65.16352890
603,Cedar,38.41163955,1,1,60.74602366
604,Cedar,31.54461549,1,0,57.43432330
605,Cedar,55.45904472,1,1,56.91735767
